,nonvoter_reg_pct,pct_reg_of_vep_vrs,midterm,percentcitizenwhite,percentcitizenblack,turnout_pred,voterturnout,electionyear,stateabbreviation
0,0.0759389,0.8522075,0,0.725616921,0.257050529,0.6132879999999958,0.608,2008,AL
1,0.05210728,0.875693,0,0.735042735,0.032051282,0.6702879999999972,0.68,2008,AK
2,0.09185892,0.8294159,0,0.699448309,0.043655553,0.5678870000000018,0.567,2008,AZ
3,0.03797669,0.742385,0,0.816748768,0.148275862,0.5558260000000048,0.525,2008,AR
4,0.08574958,0.8248458,0,0.552255226,0.075449212,0.5577129999999993,0.609,2008,CA
5,0.06445456,0.840033,0,0.809425015,0.040901008,0.5989610000000013,0.71,2008,CO
6,0.04721039,0.8556383,0,0.803839733,0.093489149,0.6471800000000069,0.666,2008,CT
7,0.04752197,0.8579402,0,0.752475248,0.198019802,0.6293420000000011,0.656,2008,DE
8,0.09558636,0.8768896,0,0.693628631,0.135211042,0.6503100000000002,0.661,2008,FL
9,0.0584905,0.8493528,0,0.642056792,0.295932464,0.6183190000000014,0.625,2008,GA
10,0.06466489,0.6961197,0,0.233295583,0.018120045,0.5123240000000011,0.488,2008,HI
11,0.02202454,0.7710114,0,0.875119161,0.010486177,0.6170940000000037,0.636,2008,ID
12,0.06370506,0.852006,0,0.745075452,0.145144569,0.6298139999999994,0.636,2008,IL
13,0.06861136,0.8106478,0,0.891494958,0.078912758,0.5695319999999999,0.591,2008,IN
14,0.03788294,0.8531576,0,0.925128685,0.031820309,0.6732679999999976,0.694,2008,IA
15,0.05095426,0.7717946,0,0.846832814,0.059190031,0.5146750000000057,0.62,2008,KS
16,0.05889091,0.8316791,0,0.913380737,0.06302521,0.5877810000000003,0.579,2008,KY
17,0.04526043,0.8808801,0,0.659031414,0.308573298,0.6221670000000002,0.612,2008,LA
18,0.01420892,0.8645574,0,0.954228856,0.006965174,0.7093750000000083,0.706,2008,ME
19,0.09176812,0.8700553,0,0.64042887,0.277719665,0.6517169999999993,0.67,2008,MD
20,0.08706032,0.8705575,0,0.853077432,0.051842047,0.6599970000000008,0.668,2008,MA
21,0.04656121,0.9044471,0,0.818561873,0.133221851,0.6506840000000023,0.692,2008,MI
22,0.01187608,0.9181286,0,0.90891789,0.032354541,0.7374759999999991,0.778,2008,MN
23,0.08251782,0.8682269,0,0.63372093,0.347868217,0.6115230000000078,0.61,2008,MS
24,0.09915379,0.8546824,0,0.860379103,0.104946833,0.6456629999999963,0.676,2008,MO
25,0.03711556,0.8020693,0,0.918508287,0.002762431,0.6395130000000072,0.663,2008,MT
26,0.07084619,0.8273379,0,0.900239425,0.02952913,0.5737089999999998,0.629,2008,NE
27,0.09457508,0.7760054,0,0.696616103,0.079929988,0.5117210000000055,0.57,2008,NV
28,0.02197219,0.8431196,0,0.950704225,0.00804829,0.6971699999999953,0.717,2008,NH
29,0.06595119,0.8546985,0,0.681409692,0.135506608,0.6160170000000018,0.67,2008,NJ
30,0.06040423,0.8082556,0,0.483727811,0.022928994,0.5529469999999975,0.609,2008,NM
31,0.06192229,0.8393219,0,0.689314344,0.152307573,0.5916789999999977,0.59,2008,NY
32,0.07527958,0.8450992,0,0.739694303,0.207657866,0.6411809999999898,0.655,2008,NC
33,0.02251222,0.8318359673469388,0,0.894957983,0.004201681,0.6328980000000051,0.627,2008,ND
34,0.08091176,0.8442057,0,0.849647424,0.107087367,0.6380529999999945,0.669,2008,OH
35,0.0941416,0.8108133,0,0.756819953,0.072096648,0.5628879999999974,0.558,2008,OK
36,0.13361974,0.8504665,0,0.874209155,0.020096762,0.6606680000000061,0.677,2008,OR
