Fact,"Population estimates, July 1, 2019,  (V2019)","Population estimates base, April 1, 2010,  (V2019)","Population, percent change - April 1, 2010 (estimates base) to July 1, 2019,  (V2019)","Population, Census, April 1, 2010","Persons under 5 years, percent","Persons under 18 years, percent","Persons 65 years and over, percent","Female persons, percent","White alone, percent","Black or African American alone, percent","American Indian and Alaska Native alone, percent","Asian alone, percent","Native Hawaiian and Other Pacific Islander alone, percent","Two or More Races, percent","Hispanic or Latino, percent","White alone, not Hispanic or Latino, percent","Veterans, 2014-2018","Foreign born persons, percent, 2014-2018","Housing units,  July 1, 2019,  (V2019)","Owner-occupied housing unit rate, 2014-2018","Median value of owner-occupied housing units, 2014-2018","Median selected monthly owner costs -with a mortgage, 2014-2018","Median selected monthly owner costs -without a mortgage, 2014-2018","Median gross rent, 2014-2018","Building permits, 2019","Households, 2014-2018","Persons per household, 2014-2018","Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018","Language other than English spoken at home, percent of persons age 5 years+, 2014-2018","Households with a computer, percent, 2014-2018","Households with a broadband Internet subscription, percent, 2014-2018","High school graduate or higher, percent of persons age 25 years+, 2014-2018","Bachelor's degree or higher, percent of persons age 25 years+, 2014-2018","With a disability, under age 65 years, percent, 2014-2018","Persons  without health insurance, under age 65 years, percent","In civilian labor force, total, percent of population age 16 years+, 2014-2018","In civilian labor force, female, percent of population age 16 years+, 2014-2018","Total accommodation and food services sales, 2012 ($1,000)","Total health care and social assistance receipts/revenue, 2012 ($1,000)","Total manufacturers shipments, 2012 ($1,000)","Total merchant wholesaler sales, 2012 ($1,000)","Total retail sales, 2012 ($1,000)","Total retail sales per capita, 2012","Mean travel time to work (minutes), workers age 16 years+, 2014-2018","Median household income (in 2018 dollars), 2014-2018","Per capita income in past 12 months (in 2018 dollars), 2014-2018","Persons in poverty, percent","Total employer establishments, 2018","Total employment, 2018","Total annual payroll, 2018 ($1,000)","Total employment, percent change, 2017-2018","Total nonemployer establishments, 2018","All firms, 2012","Men-owned firms, 2012","Women-owned firms, 2012","Minority-owned firms, 2012","Nonminority-owned firms, 2012","Veteran-owned firms, 2012","Nonveteran-owned firms, 2012","Population per square mile, 2010","Land area in square miles, 2010"
New Hampshire,1359711,1316462,0.033,1316470,0.047,0.188,0.187,0.504,0.931,0.018,0.003,0.03,Z,0.018,0.04,0.898,97644,0.06,642315,0.71,252800,1917,792,1077,4743,528078,2.46,0.86,0.079,0.922,0.862,0.929,0.365,0.088,0.076,0.677,0.636,2942278,9616460,18895624,18029179,26018201,19700,27.3,74057,38548,0.073,38375,612420,31633130,0.014,108327,131638,76716,38525,6111,121297,16119,108817,147,8952.65
New Jersey,8882190,8791978,0.01,8791894,0.058,0.218,0.166,0.511,0.719,0.151,0.006,0.1,0.001,0.023,0.209,0.546,333835,0.222,3641812,0.639,327900,2439,1031,1295,36505,3213362,2.71,0.899,0.31,0.901,0.841,0.895,0.389,0.066,0.092,0.655,0.601,19673558,60375232,108854971,288467844,133665728,15079,31.7,79363,40895,0.092,233806,3739076,230637460,0.016,745483,792088,464592,252944,237242,533808,57996,707975,1195.5,7354.22
New Mexico,2096829,2059199,0.018,2059179,0.058,0.227,0.18,0.505,0.819,0.026,0.11,0.018,0.002,0.026,0.493,0.368,148264,0.096,948473,0.676,166800,1262,350,828,5020,775651,2.64,0.864,0.348,0.838,0.723,0.853,0.271,0.103,0.12,0.574,0.538,4349672,11236630,29102352,10720363,25179274,12073,22.1,48059,26085,0.182,43830,631393,26933964,0.008,125925,151363,71132,59044,60622,83857,14096,128693,17,121298.15
New York,19453561,19378144,0.004,19378102,0.058,0.207,0.169,0.514,0.696,0.176,0.01,0.09,0.001,0.027,0.193,0.553,730557,0.226,8404381,0.539,302200,2114,755,1240,45219,7316537,2.6,0.895,0.305,0.882,0.809,0.865,0.359,0.076,0.061,0.63,0.585,49285508,155666053,148879931,341734970,251167736,12834,33.3,65323,37470,0.13,547194,8410206,572408254,0.018,1804188,2008988,1139910,725709,709021,1248304,137532,1811544,411.2,47126.4
North Carolina,10488084,9535751,0.1,9535483,0.058,0.219,0.167,0.514,0.706,0.222,0.016,0.032,0.001,0.023,0.098,0.626,667696,0.079,4747943,0.65,165900,1290,394,877,71307,3918597,2.52,0.848,0.116,0.874,0.783,0.874,0.305,0.095,0.134,0.613,0.572,18622258,55227505,202344646,105275586,120691007,12376,24.5,52413,29456,0.136,234948,3848565,184233031,0.02,787883,805985,435677,287058,183380,603182,86571,684743,196.1,48617.91
North Dakota,762062,672576,0.133,672591,0.071,0.236,0.157,0.488,0.869,0.034,0.056,0.017,0.001,0.023,0.041,0.837,46524,0.039,380173,0.627,185000,1389,455,806,2495,314903,2.31,0.821,0.061,0.885,0.79,0.925,0.295,0.071,0.081,0.692,0.648,2045123,5418355,14427360,28150837,15519816,22183,17.1,63473,35373,0.106,24566,346155,17302345,0.017,56523,68270,37016,20316,3190,62271,6584,56904,9.7,69000.8
Ohio,11689100,11536751,0.013,11536504,0.059,0.221,0.175,0.51,0.817,0.131,0.003,0.025,0.001,0.024,0.04,0.784,729649,0.045,5232869,0.66,140000,1269,471,788,23047,4654075,2.43,0.852,0.07,0.874,0.797,0.901,0.278,0.101,0.078,0.631,0.588,20652777,80915693,313629976,155426023,153553997,13301,23.5,54533,30304,0.131,251937,4878062,236239178,0.013,802331,904814,510078,306824,122653,759569,91316,776193,282.3,40860.69
Oklahoma,3956971,3751582,0.055,3751351,0.065,0.241,0.161,0.505,0.74,0.078,0.094,0.024,0.002,0.063,0.111,0.65,273677,0.06,1749464,0.656,130900,1214,395,793,12152,1474620,2.58,0.829,0.103,0.867,0.758,0.878,0.252,0.115,0.168,0.607,0.556,7121153,22795438,74295394,71892946,50256231,13174,21.7,51424,27432,0.152,93561,1385228,63012529,0.018,291452,327229,174395,105168,64875,249027,36273,273491,54.7,68594.92
Oregon,4217737,3831079,0.101,3831074,0.054,0.205,0.182,0.504,0.867,0.022,0.018,0.049,0.005,0.04,0.134,0.751,288540,0.099,1808465,0.619,287300,1647,519,1050,22037,1591835,2.51,0.823,0.154,0.918,0.839,0.904,0.329,0.101,0.086,0.621,0.577,8466788,24956816,51349948,48325261,49481054,12690,23.7,59393,32045,0.114,118586,1629432,83300624,0.021,302653,339305,165691,123015,41456,285028,30918,288790,39.9,95988.01
Pennsylvania,12801989,12702868,0.008,12702379,0.055,0.206,0.187,0.51,0.816,0.12,0.004,0.038,0.001,0.021,0.078,0.757,782682,0.068,5732628,0.69,174100,1474,531,915,23539,5025132,2.46,0.877,0.113,0.865,0.792,0.902,0.308,0.098,0.07,0.626,0.583,23504192,96329248,231396178,191170147,178794945,14008,26.9,59445,32889,0.12,303492,5478025,282597235,0.008,865041,975453,579400,304803,131512,818858,97969,837792,283.9,44742.7
