Year,ICPSR State Code,Alphanumeric State Code,StateName,VEP Total Ballots Counted,VEP Highest Office,VAP Highest Office,Total Ballots Counted,Highest Office,Voting-Eligible Population (VEP),Voting-Age Population (VAP),% Non-citizen,Prison,Probation,Parole,Total Ineligible Felon,Overseas Eligible
1980,45,19,Louisiana,,0.54,0.532,,1548591,2868792,2910776,0.01100000,8889,0,0,8889,
1980,2,20,Maine,,0.654,0.646,,523011,799746,810240,0.01300000,0,0,0,0,
1980,52,21,Maryland,0.525,0.52,0.5,1557709,1540496,2964704,3081409,0.02700000,7731,41661,6436,34998,
1980,3,22,Massachusetts,0.624,0.614,0.59,2566807,2524298,4110721,4281265,0.04000000,0,0,0,0,
1980,23,23,Michigan,0.624,0.613,0.6,3978647,3909725,6374955,6514790,0.01900000,15124,0,0,15124,
1980,33,24,Minnesota,0.721,0.712,0.7,2079451,2051980,2882406,2929927,0.01000000,2001,27000,1534,17035,
1980,46,25,Mississippi,,0.524,0.519,,892620,1704163,1719825,0.00400000,3902,4864,2292,8626,
1980,34,26,Missouri,,0.595,0.588,,2099824,3529489,3571609,0.00700000,5726,17400,2395,16821,
1980,64,27,Montana,0.671,0.656,0.651,371976,363952,554636,559165,0.00700000,739,0,0,739,
1980,35,28,Nebraska,0.584,0.575,0.567,651281,640854,1115142,1129653,0.00800000,1446,7980,292,5728,
1980,65,29,Nevada,0.519,0.433,0.411,297318,247885,573118,602463,0.04000000,1839,4989,1052,5386,
1980,4,30,New Hampshire,0.609,0.581,0.572,402415,383990,660560,671558,0.01600000,326,0,0,326,
1980,12,31,New Jersey,0.585,0.581,0.549,2999879,2975684,5123773,5420255,0.04900000,5884,29239,8911,29415,
1980,66,32,New Mexico,0.532,0.523,0.509,464848,456971,873515,897946,0.02300000,1279,2794,884,3560,
1980,13,33,New York,0.53,0.517,0.48,6359218,6201959,12006100,12932357,0.06800000,21815,0,19652,41467,
1980,47,34,North Carolina,,0.441,0.434,,1855833,4203817,4272156,0.00700000,15513,36467,6496,40243,
1980,36,35,North Dakota,0.68,0.652,0.648,314525,301545,462223,465447,0.00600000,253,0,0,253,
1980,24,36,Ohio,0.573,0.561,0.554,4378937,4283603,7637813,7732705,0.01100000,13489,0,0,13489,
1980,53,37,Oklahoma,0.542,0.532,0.522,1172303,1149708,2162051,2201257,0.01100000,4796,14360,2232,14208,
1980,72,38,Oregon,0.643,0.628,0.614,1209691,1181516,1880863,1925651,0.02200000,3177,0,0,3177,
1980,14,39,Pennsylvania,,0.526,0.52,,4561501,8664166,8774885,0.01200000,8171,0,0,8171,
1980,5,40,Rhode Island,0.627,0.616,0.586,423349,416072,675067,709692,0.04300000,813,5501,257,3821,
1980,48,41,South Carolina,0.424,0.411,0.404,922397,894071,2176721,2212354,0.00600000,7862,20589,3124,21281,
1980,37,42,South Dakota,,0.677,0.673,,327703,484328,486893,0.00400000,635,0,0,635,
1980,54,43,Tennessee,,0.492,0.488,,1617616,3285608,3318036,0.00500000,7022,9130,3097,14684,
1980,49,44,Texas,,0.474,0.449,,4541636,9572904,10120613,0.04300000,29892,131996,17235,113125,
1980,67,45,Utah,0.666,0.66,0.646,609691,604222,915484,934767,0.02100000,0,0,0,0,
1980,6,46,Vermont,0.593,0.587,0.578,215500,213299,363143,369147,0.01600000,0,0,0,0,
1980,40,47,Virginia,,0.487,0.475,,1866032,3830887,3927383,0.02000000,8920,11463,4783,19435,
1980,73,48,Washington,0.606,0.596,0.574,1772904,1742394,2923670,3037193,0.02900000,4399,12527,14669,25332,
1980,56,49,West Virginia,0.535,0.532,0.528,742150,737715,1387231,1396595,0.00500000,1257,2650,475,3057,
1980,25,50,Wisconsin,,0.684,0.674,,2273221,3322053,3371087,0.01000000,3980,19088,2639,16163,
1980,68,51,Wyoming,0.554,0.541,0.534,181004,176713,326644,330784,0.00900000,534,940,154,1158,
