Year-State,Year,SateAbbreviation,StateName,VEP Total Ballots Counted,VEP Highest Office,VAP Highest Office,Total Ballots Counted,Highest Office,Voting-Eligible Population (VEP),Voting-Age Population (VAP),% Non-citizen,Prison,Probation,Parole,Total Ineligible Felon
2014-VT,2014,VT,Vermont,0.408,0.389,0.381,202445.0,193087.0,495884,507304,0.023,0,0,0,0
2014-VA,2014,VA,Virginia,0.368,0.366,0.337,2194346.0,2184473.0,5962456,6489957,0.071,36943,54966,1732,69456
2014-WA,2014,WA,Washington,0.431,0.41200000000000003,0.371,2123901.0,2029189.0,4928407,5467270,0.084,17345,94112,9880,79928
2014-WV,2014,WV,West Virginia,0.32,0.312,0.307,462864.0,451498.0,1447652,1472594,0.008,6873,7174,2749,13639
2014-WI,2014,WI,Wisconsin,0.569,0.5660000000000001,0.539,2422248.0,2410314.0,4260427,4470265,0.032,22097,46212,20010,67986
2014-WY,2014,WY,Wyoming,0.397,0.39,0.373,171153.0,168390.0,431434,451484,0.031,2330,5196,715,5955
2012-AL,2012,AL,Alabama,0.0,0.586,0.56,0.0,2074338.0,3539217,3707440,0.026000000000000002,32232,57993,8616,71584
2012-AK,2012,AK,Alaska,0.589,0.5870000000000001,0.5529999999999999,301694.0,300495.0,511792,543763,0.038,5633,7173,1882,11317
2012-AZ,2012,AZ,Arizona,0.53,0.526,0.465,2323579.0,2306559.0,4387900,4959270,0.099,35188,72452,7460,81048
2012-AR,2012,AR,Arkansas,0.511,0.507,0.47700000000000004,1078548.0,1069468.0,2109847,2242740,0.035,14471,30122,23372,53808
2012-CA,2012,CA,California,0.557,0.551,0.451,13202158.0,13038547.0,23681837,28913129,0.174,119455,0,89287,208742
2012-CO,2012,CO,Colorado,0.706,0.6990000000000001,0.645,2596173.0,2569522.0,3675871,3981208,0.069,18807,0,11458,30265
2012-CT,2012,CT,Connecticut,0.614,0.613,0.556,1560640.0,1558960.0,2543202,2801375,0.085,16935,0,2793,19728
2012-DE,2012,DE,Delaware,0.0,0.623,0.578,0.0,413921.0,663967,715708,0.051,6610,15641,601,15501
2012-FL,2012,FL,Florida,0.633,0.628,0.551,8538264.0,8474179.0,13495057,15380947,0.10800000000000001,91954,240869,4538,224153
2012-GA,2012,GA,Georgia,0.593,0.59,0.523,3919355.0,3900050.0,6606607,7452696,0.07200000000000001,52737,442061,24761,311790
2012-HI,2012,HI,Hawaii,0.445,0.442,0.39899999999999997,437159.0,434697.0,982902,1088335,0.092,5544,0,0,5544
2012-ID,2012,ID,Idaho,0.61,0.598,0.556,666290.0,652274.0,1091410,1173727,0.046,7985,31606,3848,28584
2012-IL,2012,IL,Illinois,0.593,0.589,0.5329999999999999,5279752.0,5242014.0,8899143,9827043,0.08900000000000001,49348,0,0,49348
2012-IN,2012,IN,Indiana,0.56,0.552,0.529,2663368.0,2624534.0,4755291,4960376,0.036000000000000004,28266,0,0,28266
2012-IA,2012,IA,Iowa,0.706,0.703,0.6709999999999999,1589951.0,1582180.0,2251748,2356209,0.032,8470,29333,5151,29167
2012-KS,2012,KS,Kansas,0.5820000000000001,0.569,0.535,1182771.0,1156254.0,2030686,2162442,0.05,9346,17021,5126,23493
2012-KY,2012,KY,Kentucky,0.562,0.557,0.534,1815843.0,1797212.0,3229185,3368684,0.022000000000000002,21863,54511,14419,65173
2012-LA,2012,LA,Louisiana,0.608,0.602,0.57,2014548.0,1994065.0,3311626,3495847,0.027000000000000003,40047,41298,28946,90881
2012-ME,2012,ME,Maine,0.693,0.682,0.67,724758.0,713180.0,1046008,1064779,0.018000000000000002,0,0,0,0
2012-MD,2012,MD,Maryland,0.6729999999999999,0.6659999999999999,0.595,2734062.0,2707327.0,4063582,4553853,0.08900000000000001,20871,96640,13195,85285
2012-MA,2012,MA,Massachusetts,0.662,0.659,0.602,3184196.0,3167767.0,4809675,5263550,0.084,10283,0,0,10283
2012-MI,2012,MI,Michigan,0.654,0.647,0.62,4780701.0,4730961.0,7312725,7625576,0.035,43019,0,0,43019
2012-MN,2012,MN,Minnesota,0.764,0.76,0.7140000000000001,2950780.0,2936561.0,3861598,4114820,0.044000000000000004,9383,108157,6006,72712
2012-MS,2012,MS,Mississippi,0.0,0.593,0.5720000000000001,0.0,1285584.0,2166825,2246931,0.015,22305,30768,6804,45416
2012-MO,2012,MO,Missouri,0.0,0.622,0.596,0.0,2757323.0,4432957,4628500,0.025,30714,55470,20672,80785
2012-MT,2012,MT,Montana,0.635,0.625,0.616,491966.0,484048.0,774476,785454,0.009000000000000001,3592,0,0,3592
