Year-State,Year,State,Democratic Candidates,Republican Candidates,Other Candidates,Total Candidates 
2016-NJ,2016,NJ,1601933,2148278,123835,3874046
2016-NM,2016,NM,319667,385234,93418,798319
2016-NY,2016,NY,2819533,4556118,345791,7721442
2016-NC,2016,NC,2362631,2189316,189617,4741564
2016-ND,2016,ND,216794,93758,33808,344360
2016-OH,2016,OH,2841005,2394164,261318,5496487
2016-OK,2016,OK,949136,420375,83481,1452992
2016-OR,2016,OR,782403,1002106,216827,2001336
2016-PA,2016,PA,2970733,2926441,268304,6165478
2016-RI,2016,RI,180543,252525,31076,464144
2016-SC,2016,SC,1155389,855373,92265,2103027
2016-SD,2016,SD,227721,117458,24914,370093
2016-TN,2016,TN,1522925,870695,114407,2508027
2016-TX,2016,TX,4685047,3877868,406311,8969226
2016-UT,2016,UT,515231,310676,305523,1131430
2016-VT,2016,VT,95369,178573,41125,315067
2016-VA,2016,VA,1769443,1981473,233715,3984631
2016-WA,2016,WA,1221747,1742718,352554,3317019
2016-WV,2016,WV,489371,188794,36258,714423
2016-WI,2016,WI,1405284,1382536,188330,2976150
2016-WY,2016,WY,174419,55973,25457,255849
