YearState,ElectionYear,StateAbbreviation,StateName,VoterTurnout,VEPTotalBallotsCounted,VAPHighestOffice,TotalBallotsCounted,HighestOffice,VEP_VotingEligiblePopulation,VAP_VotingAgePopulation,PercentNonCitizen,Prison,Probation,Parole,TotalIneligibleFelon
1988-NV,1988,NV,Nevada,0.456,0.461,0.425,354261,350067,768131,823940,0.055,4881,7032,2100,10497
1988-NY,1988,NY,New York,0.527,0.54,0.475,6636310,6485683,12300666,13659215,0.094,44560,0,33962,78522
1988-OH,1988,OH,Ohio,0.558,0.573,0.55,4505284,4393585,7869099,7986220,0.011,26462,0,0,26462
1988-OK,1988,OK,Oklahoma,0.521,0.531,0.509,1192815,1171036,2245785,2300258,0.013,10448,23341,1455,23574
1988-OR,1988,OR,Oregon,0.606,0.623,0.585,1235199,1201694,1982355,2055379,0.031,5991,0,3790,9781
1988-PA,1988,PA,Pennsylvania,0.51,0,0.502,0,4536251,8892826,9037056,0.014,17900,0,0,17900
1988-RI,1988,RI,Rhode Island,0.561,0.576,0.525,415963,404620,721773,771407,0.055,1906,9824,442,7260
1988-SC,1988,SC,South Carolina,0.402,0.425,0.394,1041846,986009,2453644,2504635,0.008,13888,26260,3626,30644
1988-SD,1988,SD,South Dakota,0.634,0,0.629,0,312991,494034,497633,0.005,1020,0,0,1020
1988-TN,1988,TN,Tennessee,0.461,0,0.453,0,1636250,3551452,3609081,0.007,7732,28282,9529,31402
1988-TX,1988,TX,Texas,0.501,0,0.457,0,5427410,10833436,11877787,0.066,40437,288906,77827,262717
1988-UT,1988,UT,Utah,0.62,0.634,0.605,661546,647008,1043170,1069800,0.025,0,0,0,0
1988-VA,1988,VA,Virginia,0.498,0,0.479,0,2191609,4396900,4571637,0.032,14184,17945,6576,29733
1988-VT,1988,VT,Vermont,0.601,0.667,0.592,270148,243328,404795,411136,0.015,0,0,0,0
1988-WA,1988,WA,Washington,0.568,0.586,0.538,1923043,1865253,3282173,3465082,0.039,5816,64257,10745,48690
1988-WI,1988,WI,Wisconsin,0.628,0,0.616,0,2191608,3489742,3558322,0.013,6353,26305,4128,23634
1988-WV,1988,WV,West Virginia,0.485,0,0.481,0,653311,1347692,1358249,0.004,1455,4811,807,4668
1988-WY,1988,WY,Wyoming,0.56,0.592,0.551,186417,176551,315073,320695,0.01,945,2186,333,2371
1990-AK,1990,AK,Alaska,0.534,0.542,0.513,197540,194750,364419,379863,0.028,2622,3599,568,4990
1990-AL,1990,AL,Alabama,0.411,0,0.404,0,1215889,2956385,3012797,0.007,15665,27686,5970,35478
1990-AR,1990,AR,Arkansas,0.407,0,0.399,0,696209,1710799,1742746,0.007,7322,15983,3971,19285
1990-AZ,1990,AZ,Arizona,0.418,0.434,0.39,1094735,1055406,2523614,2705468,0.055,14861,30397,2711,32771
1990-CA,1990,CA,California,0.424,0.435,0.349,7899131,7699420,18156500,22061053,0.17,97309,0,67562,164871
1990-CO,1990,CO,Colorado,0.432,0.442,0.418,1046139,1022027,2366650,2447513,0.029,7671,0,2396,10067
1990-CT,1990,CT,Connecticut,0.479,0.486,0.45,1159361,1141101,2383795,2538398,0.047,10500,46640,291,34111
1990-DE,1990,DE,Delaware,0.37,0.378,0.355,183977,180152,486760,507016,0.019,3471,12223,1283,10866
1990-FL,1990,FL,Florida,0.386,0,0.348,0,3530871,9145312,10137720,0.083,44387,210781,2064,151842
1990-GA,1990,GA,Georgia,0.316,0,0.302,0,1449652,4588953,4803269,0.021,22411,134840,22646,112477
1990-HI,1990,HI,Hawaii,0.454,0.459,0.417,354144,349666,770836,838633,0.078,2533,0,0,2533
1990-IA,1990,IA,Iowa,0.484,0.495,0.476,1004908,983933,2030935,2065490,0.01,3967,13895,2111,13026
1990-ID,1990,ID,Idaho,0.465,0.476,0.453,328340,320610,690154,707535,0.022,1961,0,0,1961
1990-IL,1990,IL,Illinois,0.406,0.426,0.382,3420720,3257410,8029525,8535069,0.056,27516,0,0,27516
1990-IN,1990,IN,Indiana,0.368,0.384,0.363,1566371,1502687,4080236,4135602,0.01,12736,0,0,12736
1990-KS,1990,KS,Kansas,0.441,0.452,0.432,805251,786096,1783412,1821368,0.018,5775,0,0,5775
1990-KY,1990,KY,Kentucky,0.336,0,0.332,0,916010,2722356,2755670,0.006,9023,7482,3183,15947
1990-LA,1990,LA,Louisiana,0.472,0,0.462,0,1396113,2959148,3020682,0.014,18599,0,0,18599
1990-MA,1990,MA,Massachusetts,0.534,0.553,0.503,2424579,2341990,4384671,4660342,0.059,0,0,0,0
1990-MD,1990,MD,Maryland,0.327,0.345,0.306,1170867,1111088,3397126,3632477,0.045,17848,82898,11192,70489
1990-ME,1990,ME,Maine,0.573,0,0.565,0,522181,910982,924839,0.015,0,0,0,0
1990-MI,1990,MI,Michigan,0.383,0.395,0.373,2641649,2564563,6693069,6872954,0.021,34267,0,0,34267
1990-MN,1990,MN,Minnesota,0.576,0.588,0.56,1843104,1806777,3136830,3225335,0.017,3176,59323,1873,34711
1990-MO,1990,MO,Missouri,0.362,0,0.354,0,1352552,3740308,3821136,0.009,14943,42322,9196,45300
1990-MS,1990,MS,Mississippi,0.202,0,0.199,0,368502,1824156,1850099,0.005,8375,8221,3478,15964
1990-MT,1990,MT,Montana,0.557,0.57,0.551,326652,319336,573045,579158,0.008,1425,0,0,1425
1990-NC,1990,NC,North Carolina,0.419,0,0.408,0,2069585,4938968,5073437,0.013,18411,77829,9883,67209
1990-ND,1990,ND,North Dakota,0.507,0.52,0.502,240301,233973,461711,465851,0.008,483,0,0,483
1990-NE,1990,NE,Nebraska,0.525,0.534,0.514,604195,593828,1131746,1154859,0.011,2403,14654,632,10362
1990-NH,1990,NH,New Hampshire,0.362,0.378,0.354,307700,294819,814549,832887,0.02,1342,0,0,1342
1990-NJ,1990,NJ,New Jersey,0.357,0.368,0.326,1998894,1938454,5429251,5951541,0.074,21128,72341,23298,80597
1990-NM,1990,NM,New Mexico,0.4,0.418,0.382,429509,411236,1026902,1076522,0.039,3187,6294,1224,7558
1990-NV,1990,NV,Nevada,0.374,0.38,0.346,325959,320743,858018,926572,0.061,5322,7700,2850,12022
1990-NY,1990,NY,New York,0.331,0.35,0.295,4290261,4056896,12271903,13742688,0.1,54895,0,42837,97732
1990-OH,1990,OH,Ohio,0.436,0.454,0.429,3620469,3477650,7975680,8103382,0.012,31822,0,0,31822
1990-OK,1990,OK,Oklahoma,0.405,0.413,0.394,929639,911314,2251719,2313340,0.015,12285,24411,3236,27727
1990-OR,1990,OR,Oregon,0.541,0.551,0.521,1133125,1112847,2057833,2137314,0.034,6492,0,0,6492
1990-PA,1990,PA,Pennsylvania,0.341,0,0.335,0,3052760,8962083,9120122,0.015,22290,0,0,22290
1990-RI,1990,RI,Rhode Island,0.502,0.517,0.466,375188,364052,725084,780448,0.058,2392,15366,321,10396
1990-SC,1990,SC,South Carolina,0.3,0.313,0.293,793614,760965,2537384,2598170,0.009,17319,32287,3543,37006
1990-SD,1990,SD,South Dakota,0.523,0,0.519,0,258976,494849,499072,0.006,1341,0,0,1341
1990-TN,1990,TN,Tennessee,0.218,0,0.214,0,790441,3624940,3693970,0.008,10388,32719,11327,38075
1990-TX,1990,TX,Texas,0.353,0,0.318,0,3892746,11034190,12232761,0.072,50042,308357,109726,313947
1990-UT,1990,UT,Utah,0.407,0.422,0.396,457983,442213,1086050,1116922,0.028,0,0,0,0
1990-VA,1990,VA,Virginia,0.255,0,0.245,0,1152854,4512504,4715129,0.035,17593,21303,9048,37293
1990-VT,1990,VT,Vermont,0.509,0.523,0.501,217384,211422,415564,422130,0.016,0,0,0,0
1990-WA,1990,WA,Washington,0.384,0.398,0.361,1362651,1313217,3421256,3634031,0.042,7995,84817,9615,60019
1990-WI,1990,WI,Wisconsin,0.39,0,0.381,0,1379727,3541548,3617625,0.014,7465,29370,4099,26249
1990-WV,1990,WV,West Virginia,0.3,0,0.298,0,404305,1347723,1358773,0.004,1565,5059,1000,5095
1990-WY,1990,WY,Wyoming,0.512,0.525,0.502,164309,160109,312961,319255,0.011,1110,2980,313,2913
1992-AK,1992,AK,Alaska,0.663,0.671,0.636,261427,258506,389898,406653,0.029,2865,3014,710,5082
1992-AL,1992,AL,Alabama,0.557,0,0.545,0,1688060,3030549,3096959,0.009,17453,31188,6934,39981
1992-AR,1992,AR,Arkansas,0.543,0,0.531,0,950653,1751083,1789420,0.01,8285,16448,3460,19969
1992-AZ,1992,AZ,Arizona,0.557,0.567,0.513,1516276,1486975,2671933,2897181,0.065,16477,34647,3588,37389
1992-CA,1992,CA,California,0.603,0.616,0.493,11374565,11131721,18460157,22573381,0.173,109496,0,87725,197221
1992-CO,1992,CO,Colorado,0.629,0.64,0.603,1597166,1569180,2494998,2602217,0.037,8997,0,2634,11631
1992-CT,1992,CT,Connecticut,0.686,0.698,0.641,1645609,1616332,2356937,2521774,0.051,11403,48567,483,36170
1992-DE,1992,DE,Delaware,0.58,0.583,0.553,290836,289735,499266,523661,0.022,4062,14887,1120,12626
1992-FL,1992,FL,Florida,0.559,0.572,0.502,5438612,5314392,9506230,10591116,0.087,48302,200471,14021,162559
1992-GA,1992,GA,Georgia,0.485,0,0.459,0,2311253,4766958,5037354,0.029,25290,153154,23020,124887
1992-HI,1992,HI,Hawaii,0.469,0.482,0.43,382882,372842,795148,866114,0.079,2926,0,0,2926
1992-IA,1992,IA,Iowa,0.658,0.661,0.645,1360856,1354607,2057690,2098809,0.013,4518,14084,2065,13625
1992-ID,1992,ID,Idaho,0.656,0.669,0.638,491725,482142,734855,756119,0.025,2256,0,0,2256
1992-IL,1992,IL,Illinois,0.622,0.636,0.581,5164357,5050157,8113900,8688184,0.062,31640,0,0,31640
1992-IN,1992,IN,Indiana,0.554,0.564,0.545,2347912,2305871,4162678,4230602,0.013,13945,0,0,13945
1992-KS,1992,KS,Kansas,0.639,0.641,0.623,1161044,1157335,1810750,1857444,0.022,6028,0,0,6028
1992-KY,1992,KY,Kentucky,0.538,0,0.53,0,1492900,2772600,2814763,0.008,10364,10750,3684,19423
1992-LA,1992,LA,Louisiana,0.597,0.6,0.584,1799596,1790017,2997301,3063068,0.015,20980,0,0,20980
1992-MA,1992,MA,Massachusetts,0.638,0.649,0.598,2822962,2773700,4346897,4640629,0.063,0,0,0,0
1992-MD,1992,MD,Maryland,0.577,0.581,0.537,1999486,1985046,3440015,3695298,0.049,19977,82948,13058,74509
1992-ME,1992,ME,Maine,0.743,0,0.731,0,679499,915082,928998,0.015,0,0,0,0
1992-MI,1992,MI,Michigan,0.63,0.64,0.611,4341909,4274673,6786593,6990822,0.024,39113,0,0,39113
1992-MN,1992,MN,Minnesota,0.737,0.739,0.712,2355796,2347948,3187255,3298080,0.021,3822,72938,1901,42192
1992-MO,1992,MO,Missouri,0.631,0,0.616,0,2391565,3792675,3880005,0.011,16195,32692,11671,44212
1992-MS,1992,MS,Mississippi,0.529,0.543,0.522,1008019,981793,1854797,1882100,0.006,8905,8031,2357,15278
1992-MT,1992,MT,Montana,0.692,0.704,0.685,417564,410611,593345,599859,0.008,1548,0,0,1548
1992-NC,1992,NC,North Carolina,0.514,0,0.497,0,2611850,5077494,5259564,0.02,20454,86371,14415,78055
1992-ND,1992,ND,North Dakota,0.666,0.681,0.66,315199,308133,462631,467130,0.009,477,0,0,477
1992-NE,1992,NE,Nebraska,0.642,0.648,0.626,744548,737546,1149525,1178965,0.016,2514,15386,697,10904
1992-NH,1992,NH,New Hampshire,0.661,0.67,0.645,545197,537943,814160,833997,0.022,1777,0,0,1777
1992-NJ,1992,NJ,New Jersey,0.619,0.62,0.557,3348312,3343594,5398559,6000364,0.081,22653,108093,36120,112820
1992-NM,1992,NM,New Mexico,0.531,0.55,0.504,590901,569986,1073421,1131081,0.044,3271,6921,1331,8063
1992-NV,1992,NV,Nevada,0.539,0.546,0.493,513387,506318,940066,1028056,0.072,6049,8533,3246,13562
1992-NY,1992,NY,New York,0.566,0.578,0.502,7068630,6926925,12227775,13799670,0.106,61736,0,50004,111740
1992-OH,1992,OH,Ohio,0.613,0.625,0.602,5043094,4939967,8063595,8208502,0.013,38378,0,0,38378
1992-OK,1992,OK,Oklahoma,0.606,0.635,0.588,1455635,1390359,2293931,2366029,0.018,14821,25902,2758,30530
1992-OR,1992,OR,Oregon,0.682,0.699,0.653,1498959,1462643,2144867,2241507,0.04,6583,0,0,6583
1992-PA,1992,PA,Pennsylvania,0.549,0,0.539,0,4949810,9010940,9188416,0.017,24974,0,0,24974
1992-RI,1992,RI,Rhode Island,0.628,0,0.582,0,453471,721593,779266,0.06,2775,15585,483,11051
1992-SC,1992,SC,South Carolina,0.461,0.473,0.448,1234712,1202527,2610725,2683852,0.012,18643,35587,5325,41762
1992-SD,1992,SD,South Dakota,0.667,0,0.661,0,336254,503759,508841,0.007,1487,0,0,1487
1992-TN,1992,TN,Tennessee,0.532,0,0.52,0,1982638,3726024,3811036,0.011,11849,38614,11819,42975
1992-TX,1992,TX,Texas,0.542,0,0.483,0,6154018,11356487,12747860,0.081,60467,360702,121141,361959
1992-UT,1992,UT,Utah,0.64,0.675,0.618,784988,743999,1162363,1203861,0.034,0,0,0,0
1992-VA,1992,VA,Virginia,0.554,0,0.527,0,2558665,4622125,4856799,0.039,21199,23510,11372,44326
1992-VT,1992,VT,Vermont,0.69,0.697,0.679,292797,289701,419810,426860,0.017,0,0,0,0
1992-WA,1992,WA,Washington,0.64,0.65,0.598,2324907,2288230,3575852,3827227,0.047,9959,103837,7850,69728
1992-WI,1992,WI,Wisconsin,0.699,0,0.682,0,2531114,3619273,3712414,0.016,8191,40424,5560,33963
1992-WV,1992,WV,West Virginia,0.501,0,0.496,0,683762,1365368,1377282,0.005,1674,5688,988,5506
1992-WY,1992,WY,Wyoming,0.619,0.628,0.606,203602,200617,324253,331170,0.011,1063,3310,404,3122
1994-AK,1994,AK,Alaska,0.534,0.542,0.512,216668,213404,399435,417053,0.03,3292,2899,412,5154
1994-AL,1994,AL,Alabama,0.388,0,0.379,0,1201969,3095745,3170782,0.01,19573,32284,7235,42950
1994-AR,1994,AR,Arkansas,0.398,0,0.388,0,716840,1801161,1849361,0.013,8643,19606,5224,23670
1994-AZ,1994,AZ,Arizona,0.391,0.399,0.356,1153724,1129607,2892171,3169857,0.075,19746,34365,4351,41280
1994-CA,1994,CA,California,0.469,0.482,0.381,8900593,8658881,18479124,22721586,0.177,125605,0,85082,210687
1994-CO,1994,CO,Colorado,0.421,0.443,0.401,1173130,1116307,2648684,2785952,0.045,10717,0,2463,13180
1994-CT,1994,CT,Connecticut,0.491,0.498,0.456,1163829,1147084,2335579,2515100,0.055,14380,53453,1146,42253
1994-DE,1994,DE,Delaware,0.388,0.393,0.368,201560,199029,512941,540474,0.026,4466,15507,1029,13249
1994-FL,1994,FL,Florida,0.429,0.439,0.382,4305340,4206659,9810247,11016840,0.091,57168,247014,20573,201248
1994-GA,1994,GA,Georgia,0.31,0,0.292,0,1545328,4978431,5293282,0.037,33425,140694,17505,121277
1994-HI,1994,HI,Hawaii,0.456,0.466,0.418,377011,369013,808904,882189,0.079,3333,0,0,3333
1994-IA,1994,IA,Iowa,0.48,0.492,0.469,1022372,997248,2077709,2128370,0.016,5437,15902,3696,17084
1994-ID,1994,ID,Idaho,0.527,0.535,0.51,419330,413346,784076,809957,0.028,2811,0,0,2811
1994-IL,1994,IL,Illinois,0.38,0.394,0.352,3219122,3106566,8175312,8819582,0.069,36531,0,0,36531
1994-IN,1994,IN,Indiana,0.364,0.38,0.358,1609481,1543568,4235008,4315664,0.015,15014,0,0,15014
1994-KS,1994,KS,Kansas,0.447,0.455,0.434,836251,820846,1837694,1893521,0.026,6371,0,0,6371
1994-KY,1994,KY,Kentucky,0.277,0.292,0.272,827541,784299,2829881,2879413,0.01,11066,11417,4380,21155
1994-LA,1994,LA,Louisiana,0.272,0.294,0.266,893758,826837,3038660,3109456,0.015,24063,0,0,24063
1994-MA,1994,MA,Massachusetts,0.501,0.513,0.467,2232186,2179945,4353287,4668100,0.067,0,0,0,0
1994-MD,1994,MD,Maryland,0.405,0.413,0.376,1437450,1410299,3480270,3751305,0.052,20998,76940,14795,74263
1994-ME,1994,ME,Maine,0.557,0,0.549,0,511733,918204,932164,0.015,0,0,0,0
1994-MI,1994,MI,Michigan,0.451,0.463,0.436,3177740,3089077,6856388,7081498,0.026,40631,0,0,40631
1994-MN,1994,MN,Minnesota,0.545,0.552,0.524,1794618,1772929,3253779,3385687,0.025,4575,81972,1904,47465
1994-MO,1994,MO,Missouri,0.46,0,0.448,0,1775116,3858946,3958762,0.013,17898,36295,12592,48638
1994-MS,1994,MS,Mississippi,0.319,0.326,0.314,621096,608085,1903794,1935054,0.007,10930,9042,1519,16970
1994-MT,1994,MT,Montana,0.563,0.578,0.557,359455,350387,622246,629335,0.008,1764,0,0,1764
1994-NC,1994,NC,North Carolina,0.303,0,0.29,0,1588190,5244552,5477604,0.026,23648,90418,20159,89016
1994-ND,1994,ND,North Dakota,0.504,0.513,0.499,240430,236547,468989,473993,0.009,563,0,0,563
1994-NE,1994,NE,Nebraska,0.498,0.51,0.482,593654,579561,1164502,1201826,0.02,2711,18639,771,12802
1994-NH,1994,NH,New Hampshire,0.376,0.385,0.366,319443,311882,829590,851104,0.023,2021,0,0,2021
1994-NJ,1994,NJ,New Jersey,0.381,0.395,0.339,2131328,2054887,5392423,6059401,0.089,24632,125299,41802,129084
1994-NM,1994,NM,New Mexico,0.414,0.431,0.391,485709,467621,1128243,1195183,0.049,3712,8063,1078,8822
1994-NV,1994,NV,Nevada,0.369,0.374,0.333,386582,380530,1032456,1143487,0.084,6993,9410,3529,15227
1994-NY,1994,NY,New York,0.427,0.437,0.375,5325323,5203762,12192316,13861352,0.112,66750,0,53832,120582
1994-OH,1994,OH,Ohio,0.423,0.435,0.414,3540954,3436884,8132122,8292312,0.014,43074,0,0,43074
1994-OK,1994,OK,Oklahoma,0.427,0.431,0.413,1002363,995012,2327519,2410272,0.02,16631,28285,2604,33378
1994-OR,1994,OR,Oregon,0.548,0.563,0.521,1254265,1221010,2229242,2344505,0.046,6936,0,0,6936
1994-PA,1994,PA,Pennsylvania,0.396,0,0.388,0,3585526,9043585,9241090,0.018,28302,0,0,28302
1994-RI,1994,RI,Rhode Island,0.505,0,0.465,0,361377,716002,776723,0.062,2919,18179,525,12534
1994-SC,1994,SC,South Carolina,0.351,0.357,0.34,951901,934886,2663830,2747987,0.014,18999,40005,6077,45079
1994-SD,1994,SD,South Dakota,0.601,0.613,0.594,318090,311613,518815,524910,0.008,1708,0,0,1708
1994-TN,1994,TN,Tennessee,0.386,0,0.377,0,1487130,3850228,3945407,0.014,14401,34896,9353,41202
1994-TX,1994,TX,Texas,0.375,0,0.33,0,4396242,11719888,13334014,0.089,118195,396276,108563,424896
1994-UT,1994,UT,Utah,0.415,0.427,0.398,532737,517790,1248726,1302522,0.041,0,0,0,0
1994-VA,1994,VA,Virginia,0.436,0,0.413,0,2057463,4718968,4983515,0.043,26968,24089,9649,48662
1994-VT,1994,VT,Vermont,0.495,0.508,0.487,216715,211449,426953,434549,0.017,0,0,0,0
1994-WA,1994,WA,Washington,0.458,0.467,0.426,1733471,1700173,3715174,3994036,0.053,10833,110279,1650,67623
1994-WI,1994,WI,Wisconsin,0.424,0,0.412,0,1565628,3692668,3801543,0.018,10022,45901,7065,40038
1994-WV,1994,WV,West Virginia,0.305,0.319,0.302,439551,420936,1379339,1392499,0.005,1930,5992,1380,6306
1994-WY,1994,WY,Wyoming,0.598,0.605,0.586,204025,201710,337032,344492,0.012,1217,3367,313,3214
1996-AK,1996,AK,Alaska,0.598,0.607,0.57,245212,241620,404180,423702,0.031,3716,3999,642,6358
1996-AL,1996,AL,Alabama,0.488,0,0.475,0,1534349,3144249,3227688,0.012,21760,37865,4966,45659
1996-AR,1996,AR,Arkansas,0.479,0,0.465,0,884262,1844689,1903094,0.016,9407,25178,5459,27455
1996-AZ,1996,AZ,Arizona,0.456,0.465,0.411,1431342,1404405,3079908,3414380,0.084,22493,40607,3785,46582
1996-CA,1996,CA,California,0.537,0.55,0.434,10263490,10019484,18644593,23076427,0.181,146049,0,99578,245627
1996-CO,1996,CO,Colorado,0.545,0,0.514,0,1510704,2770252,2939929,0.052,12483,0,3294,15777
1996-CT,1996,CT,Connecticut,0.596,0.604,0.551,1410746,1392614,2337160,2528212,0.058,15007,55978,1083,44079
1996-DE,1996,DE,Delaware,0.512,0.525,0.484,277418,270810,528630,559598,0.03,5110,16528,591,13965
1996-FL,1996,FL,Florida,0.519,0.533,0.461,5444245,5300927,10219294,11509122,0.095,63763,237117,9243,191565
1996-GA,1996,GA,Georgia,0.444,0.458,0.414,2374650,2298899,5181708,5555577,0.044,35139,143457,21146,128014
1996-HI,1996,HI,Hawaii,0.439,0.451,0.402,370230,360120,820055,895753,0.08,4011,0,0,4011
1996-IA,1996,IA,Iowa,0.588,0.597,0.573,1251983,1234075,2098332,2154320,0.018,6342,15386,2200,16235
1996-ID,1996,ID,Idaho,0.593,0.616,0.572,508030,489481,825329,856420,0.032,3832,0,0,3832
1996-IL,1996,IL,Illinois,0.525,0.538,0.483,4418270,4311391,8215662,8927254,0.075,38852,0,0,38852
1996-IN,1996,IN,Indiana,0.496,0.51,0.486,2195224,2135431,4302745,4397367,0.018,16960,0,0,16960
1996-KS,1996,KS,Kansas,0.573,0.578,0.553,1073520,1063452,1856507,1922601,0.03,7756,0,0,7756
1996-KY,1996,KY,Kentucky,0.482,0.493,0.473,1419592,1388707,2880808,2938362,0.012,12910,11689,4621,23376
1996-LA,1996,LA,Louisiana,0.578,0.584,0.564,1804640,1783959,3087693,3163302,0.015,26776,0,0,26776
1996-MA,1996,MA,Massachusetts,0.584,0.593,0.542,2600278,2559180,4385268,4723380,0.072,0,0,0,0
1996-MD,1996,MD,Maryland,0.504,0.508,0.467,1793991,1780870,3530148,3817454,0.056,22050,70553,16246,73573
1996-ME,1996,ME,Maine,0.652,0,0.642,0,605897,929970,944106,0.015,0,0,0,0
1996-MI,1996,MI,Michigan,0.553,0.563,0.534,3912261,3848844,6954059,7201527,0.028,42349,0,0,42349
1996-MN,1996,MN,Minnesota,0.661,0.666,0.631,2211161,2192640,3319509,3473117,0.029,5158,90202,2377,52636
1996-MO,1996,MO,Missouri,0.551,0,0.535,0,2158065,3919885,4035666,0.015,22003,42386,13087,56283
1996-MS,1996,MS,Mississippi,0.459,0,0.45,0,893857,1949309,1986327,0.008,13859,10376,1326,20373
1996-MT,1996,MT,Montana,0.631,0.647,0.623,417232,407083,645052,652991,0.009,2293,0,0,2293
1996-NC,1996,NC,North Carolina,0.463,0,0.44,0,2515807,5435970,5717844,0.033,30647,102483,12358,94247
1996-ND,1996,ND,North Dakota,0.56,0.571,0.553,271850,266411,475898,481497,0.01,722,0,0,722
1996-NE,1996,NE,Nebraska,0.57,0.578,0.551,686749,677415,1188034,1230047,0.025,3287,14363,688,11157
1996-NH,1996,NH,New Hampshire,0.583,0.601,0.568,513700,499053,855287,878569,0.024,2062,0,0,2062
1996-NJ,1996,NJ,New Jersey,0.564,0.569,0.5,3105110,3075860,5456334,6152216,0.096,27490,125881,14545,104976
1996-NM,1996,NM,New Mexico,0.474,0.495,0.445,579763,556074,1172262,1249597,0.053,4724,8903,1426,10602
1996-NV,1996,NV,Nevada,0.409,0.412,0.365,467657,464279,1134065,1271617,0.095,8439,9760,3216,16535
1996-NY,1996,NY,New York,0.519,0.529,0.453,6439129,6316129,12175850,13942462,0.118,69709,0,57137,126846
1996-OH,1996,OH,Ohio,0.554,0.567,0.542,4638108,4534434,8185999,8366250,0.015,46174,0,6331,52505
1996-OK,1996,OK,Oklahoma,0.51,0.514,0.49,1218248,1206713,2368311,2461718,0.023,19593,28090,2159,35797
1996-OR,1996,OR,Oregon,0.597,0.606,0.563,1399180,1377760,2309051,2445442,0.052,8661,0,0,8661
1996-PA,1996,PA,Pennsylvania,0.497,0,0.485,0,4506118,9063470,9283893,0.02,34537,0,0,34537
1996-RI,1996,RI,Rhode Island,0.544,0,0.499,0,390247,717041,781307,0.064,3271,20446,573,14067
1996-SC,1996,SC,South Carolina,0.422,0.441,0.408,1203486,1151422,2731064,2825088,0.017,20446,42417,5036,46691
1996-SD,1996,SD,South Dakota,0.611,0.622,0.603,329316,323826,529793,537038,0.01,2063,0,0,2063
1996-TN,1996,TN,Tennessee,0.475,0,0.463,0,1894105,3984092,4094014,0.016,15626,37002,8934,43061
1996-TX,1996,TX,Texas,0.465,0,0.404,0,5611644,12072149,13887542,0.098,132383,429329,112594,459642
1996-UT,1996,UT,Utah,0.502,0.521,0.477,691016,665629,1326919,1394017,0.048,0,0,0,0
1996-VA,1996,VA,Virginia,0.502,0.513,0.473,2468229,2416642,4811632,5106297,0.047,27655,29620,9918,52383
1996-VT,1996,VT,Vermont,0.593,0.6,0.582,261469,258449,435687,443874,0.018,0,0,0,0
1996-WA,1996,WA,Washington,0.589,0.599,0.543,2293895,2253867,3829308,4147127,0.058,12527,125780,560,75977
1996-WI,1996,WI,Wisconsin,0.584,0,0.565,0,2196169,3763240,3886906,0.02,12991,47292,8222,44859
1996-WV,1996,WV,West Virginia,0.459,0.471,0.455,653331,636459,1386621,1400343,0.005,2749,5669,869,6453
1996-WY,1996,WY,Wyoming,0.613,0.625,0.599,215844,211571,345112,353354,0.013,1499,3432,364,3579
1998-AK,1998,AK,Alaska,0.546,0.556,0.52,227156,223300,408758,429317,0.032,4097,4274,478,6712
1998-AL,1998,AL,Alabama,0.412,0,0.4,0,1317842,3202052,3293917,0.013,22676,40379,5221,48087
1998-AR,1998,AR,Arkansas,0.375,0,0.362,0,706011,1882181,1951741,0.019,10638,28698,6979,31966
1998-AZ,1998,AZ,Arizona,0.315,0.321,0.28,1037550,1017616,3232815,3628841,0.094,25311,51329,3742,54718
1998-CA,1998,CA,California,0.435,0.447,0.35,8617649,8381871,19264556,23980067,0.185,161904,0,108424,270328
1998-CO,1998,CO,Colorado,0.461,0,0.43,0,1327235,2879973,3085075,0.06,14312,0,5204,19516
1998-CT,1998,CT,Connecticut,0.427,0.437,0.393,1022453,999537,2340956,2544417,0.062,17605,55000,1396,46501
1998-DE,1998,DE,Delaware,0.334,0,0.313,0,180527,540896,576849,0.034,5558,20030,572,16145
1998-FL,1998,FL,Florida,0.374,0.384,0.33,4070262,3965751,10590870,12001902,0.1,67224,283965,6487,215694
1998-GA,1998,GA,Georgia,0.337,0.346,0.308,1842145,1792880,5326337,5828114,0.052,39262,278669,20482,199079
1998-HI,1998,HI,Hawaii,0.49,0.496,0.448,412520,407556,832172,910645,0.081,4924,0,0,4924
1998-IA,1998,IA,Iowa,0.453,0.461,0.439,973032,956415,2112132,2176940,0.021,7394,18447,2194,18812
1998-ID,1998,ID,Idaho,0.452,0.458,0.425,386720,381248,843914,896422,0.035,4083,31172,1309,20978
1998-IL,1998,IL,Illinois,0.41,0.427,0.374,3541379,3394521,8285614,9070725,0.082,43051,0,0,43051
1998-IN,1998,IN,Indiana,0.365,0.372,0.356,1618689,1588617,4348730,4457578,0.02,19197,0,0,19197
1998-KS,1998,KS,Kansas,0.388,0.397,0.372,743288,727236,1873438,1955236,0.035,8183,0,6025,14208
1998-KY,1998,KY,Kentucky,0.391,0.415,0.382,1215053,1145414,2930780,2999287,0.013,14987,17594,4508,28292
1998-LA,1998,LA,Louisiana,0.313,0.32,0.301,990243,969165,3097660,3216121,0.016,32228,33028,18759,67501
1998-MA,1998,MA,Massachusetts,0.43,0.437,0.397,1935277,1903336,4430939,4793966,0.076,0,0,0,0
1998-MD,1998,MD,Maryland,0.43,0.436,0.396,1556994,1535978,3571087,3879108,0.06,22572,78051,15528,77126
1998-ME,1998,ME,Maine,0.516,0,0.508,0,486808,943577,957916,0.015,0,0,0,0
