YearState,ElectionYear,StateAbbreviation,StateName,VoterTurnout,VEPTotalBallotsCounted,VAPHighestOffice,TotalBallotsCounted,HighestOffice,VEP_VotingEligiblePopulation,VAP_VotingAgePopulation,PercentNonCitizen,Prison,Probation,Parole,TotalIneligibleFelon
1982-AZ,1982,AZ,Arizona,0.36,0.368,0.344,742923,726364,2017098,2112246,0.038,6069,14949,1527,15071
1982-CA,1982,CA,California,0.487,0.499,0.427,8064314,7876698,16161555,18448245,0.121,34640,0,18913,53553
1982-CO,1982,CO,Colorado,0.435,0.473,0.425,1037774,956021,2196263,2248839,0.021,3042,0,1202,4244
1982-CT,1982,CT,Connecticut,0.481,0.494,0.457,1112428,1084156,2253328,2369975,0.04,5156,33061,1311,22998
1982-DE,1982,DE,Delaware,0.444,0.455,0.433,195726,190960,430257,441374,0.014,2068,4626,621,5002
1982-FL,1982,FL,Florida,0.355,0,0.33,0,2688566,7565499,8139171,0.063,27830,57074,5974,62341
1982-GA,1982,GA,Georgia,0.296,0,0.289,0,1169041,3945107,4047788,0.011,14405,78097,4897,58351
1982-HI,1982,HI,Hawaii,0.465,0.485,0.431,325459,311853,671172,724189,0.071,1461,0,0,1461
1982-IA,1982,IA,Iowa,0.502,0.508,0.496,1050495,1038229,2068844,2094031,0.008,2829,10625,1050,9192
1982-ID,1982,ID,Idaho,0.502,0.511,0.493,332237,326522,650534,662251,0.016,1044,0,0,1044
1982-IL,1982,IL,Illinois,0.465,0.488,0.443,3856875,3673681,7908220,8284606,0.044,14293,0,0,14293
1982-IN,1982,IN,Indiana,0.468,0.473,0.463,1834225,1817287,3879314,3921907,0.009,8790,0,0,8790
1982-KS,1982,KS,Kansas,0.44,0,0.433,0,763263,1736298,1761238,0.012,3078,0,0,3078
1982-KY,1982,KY,Kentucky,0.268,0,0.265,0,700322,2615445,2642810,0.005,4031,14516,3430,14719
1982-LA,1982,LA,Louisiana,0,0,0,0,0,2982702,3029834,0.012,10930,0,0,10930
1982-MA,1982,MA,Massachusetts,0.49,0.503,0.469,2103780,2050769,4184146,4375262,0.044,0,0,0,0
1982-MD,1982,MD,Maryland,0.375,0.392,0.359,1190011,1139149,3034834,3174995,0.03,11617,52603,6024,43943
1982-ME,1982,ME,Maine,0.563,0,0.555,0,460295,817814,828907,0.013,0,0,0,0
1982-MI,1982,MI,Michigan,0.478,0.493,0.468,3135928,3040008,6357552,6498711,0.019,14913,0,0,14913
1982-MN,1982,MN,Minnesota,0.613,0.623,0.603,1834737,1804675,2943169,2993256,0.011,2081,24320,1479,15720
1982-MO,1982,MO,Missouri,0.433,0,0.427,0,1543521,3567803,3615526,0.007,7445,21637,2556,20820
1982-MS,1982,MS,Mississippi,0.37,0,0.366,0,645026,1743267,1762406,0.004,5484,6304,2914,11550
1982-MT,1982,MT,Montana,0.564,0.576,0.559,328082,321062,569629,574592,0.007,914,0,0,914
1982-NC,1982,NC,North Carolina,0.304,0,0.298,0,1321080,4347870,4427095,0.008,16569,44274,6910,45616
1982-ND,1982,ND,North Dakota,0.55,0.572,0.546,272876,262465,476851,480367,0.007,322,0,0,322
1982-NE,1982,NE,Nebraska,0.485,0.496,0.478,559422,547902,1128918,1145316,0.008,1739,9964,309,7030
1982-NH,1982,NH,New Hampshire,0.412,0.421,0.405,289057,282588,686264,698424,0.017,445,0,0,445
1982-NJ,1982,NJ,New Jersey,0.42,0.438,0.394,2286925,2193945,5224732,5563627,0.054,8191,38186,10514,37798
1982-NM,1982,NM,New Mexico,0.443,0.455,0.429,417945,407466,919311,949133,0.026,1718,3854,1206,4851
