YearState,StateAbbreviation,StateName,ElectionYear,website_pollingplace,website_reg_status,website_precinct_ballot,website_absentee_status,website_provisional_status,reg_rej,prov_partic,prov_rej_all,abs_rej_all_ballots,abs_nonret,uocava_rej,uocava_nonret,eavs_completeness,post_election_audit,nonvoter_illness_onyear_pct,nonvoter_illness_offyear_pct,nonvoter_reg_onyear_pct,nonvoter_reg_offyear_pct,online_reg,wait,residual,pct_reg_of_vep_vrs,vep_turnout
2008-AK,AK,Alaska,2008,0,0,,,,0.0681019,0.0621388,0.0007813,0.0018604,0.1645482,0.0429646,0.1546564,1,1,0.15214236,,0.05210728,,0,5.7127,0.0034948,0.875693,0.6827726
2010-AK,AK,Alaska,2010,1,1,0,1,0,0.0820497,0.0497725,0.0049784,0.0021139,0.1559424,0.0424946,0.4828166,1,1,,0.0931353,,0.0352794,0,,,0.8354309,0.5255604
2012-AK,AK,Alaska,2012,1,1,0,1,0,0.0970629,0.0603541,0.00081,0.0026615,0.154525,0.082484,0.193297,1,1,0.12015536,,0.06383421,,0,3.656872,0.0039742,0.8684716,0.5918064
2014-AK,AK,Alaska,2014,1,1,0,1,0,0.0864959,0.0567391,0.0072061,0.003245,0.2494985,0.0503247,0.2566437,1,1,,0.0931197,,0.0201839,0,4.156598,,0.8269493,0.5438179
2016-AK,AK,Alaska,2016,1,1,1,1,0,0.1116463,0.0613138,0.0008383,0.0027097,0.131722,0.0793299,0.1236304,1,1,0.12192352,,0.05422933,,1,6.428843,0.0082947,0.875029,0.612886
2018-AK,AK,Alaska,2018,1,1,1,1,0,0.099038,0.0460685,0.0044246,0.0026367,0.165157,0.0251142,0.1603163,1,1,,0.1113286,,0.0223332,1,3.296339,,0.8660678,0.5462276
2008-AL,AL,Alabama,2008,0,0,,,,0.0004391,,,,,,0.3100032,0.4860942,0,0.2261501,,0.0759389,,0,14.2608,,0.8522075,0.6095284
2010-AL,AL,Alabama,2010,1,1,0,1,1,0.0010221,0.0023871,0.0012294,,,0.1917563,0.7643077,0.5942518,0,,0.1865659,,0.078653,0,,,0.8214131,0.4306084
2012-AL,AL,Alabama,2012,1,1,0,1,1,,0.0036719,0.0021163,,,,,0.5824811,0,0.23142886,,0.07635505,,0,11.30834,0.006219,0.863281,0.5889097
2014-AL,AL,Alabama,2014,1,1,0,1,1,0.0177437,0.0019377,0.000613,,,,0.8178264,0.6252103,0,,0.166047,,0.0646148,0,3.71631,,0.8018457,0.332124
2016-AL,AL,Alabama,2016,1,1,1,1,1,0.0160717,,,,0.10026,0.0392465,0.3813421,0.7435867,0,0.22291428,,0.05076856,,1,13.17053,0.0062881,0.8621275,0.5896026
2018-AL,AL,Alabama,2018,1,1,1,1,1,0.0171104,0.0052399,0.002139,0.0008075,0.0875211,0.0127389,0.3203463,0.9959073,0,,0.1679202,,0.0520435,1,7.469024,,0.8828068,0.472894
2008-AR,AR,Arkansas,2008,1,1,,,,,0.002031,,,,,0.2600094,0.7073488,0,0.17098345,,0.03797669,,0,21.48361,0.0085277,0.742385,0.5290489
2010-AR,AR,Arkansas,2010,1,1,1,1,0,0.0452559,0.0016515,0.0009079,0.0016142,0.0973715,0.0419463,0.5247525,0.977605,0,,0.1586142,,0.0254112,0,,,0.7192547,0.3754192
2012-AR,AR,Arkansas,2012,1,1,1,1,0,,0.0024149,0.0015701,0.0009498,0.0907552,0.1001417,0.2774451,0.9692506,0,0.17145225,,0.05128189,,0,12.88792,0.0084187,0.7594837,0.5095499
2014-AR,AR,Arkansas,2014,1,1,0,1,0,0.0139308,0.0019158,0.0010862,0.001238,0.0948457,,0.3543165,0.950947,0,,0.1407865,,0.022308,0,7.701295,,0.7472966,0.4014286
2016-AR,AR,Arkansas,2016,1,1,0,1,0,0.0337863,0.0041318,0.003051,0.0016215,0.079493,,0.1725993,0.9339136,0,0.20186481,,0.04649762,,0,15.3538,0.0093646,0.8370594,0.5277001
2018-AR,AR,Arkansas,2018,1,1,0,1,0,,,,0.0015015,0.1086918,,,0.8278583,0,,0.1477313,,0.0303957,0,8.154811,,0.7895977,0.4138204
2008-AZ,AZ,Arizona,2008,0,0,,,,,0.0654066,0.0191624,0.0029416,0.0642906,0.0190819,0.3659405,0.9894488,1,0.12171349,,0.09185892,,1,23.71424,0.0117957,0.8294159,0.5736055
2010-AZ,AZ,Arizona,2010,1,1,0,0,1,,0.0467456,0.0082612,0.0047194,0.2307793,0.0355656,0.672896,0.9910133,1,,0.087298,,0.0642903,1,,,0.803252,0.4152188
2012-AZ,AZ,Arizona,2012,1,1,0,1,1,,0.0788693,0.0142117,0.0053323,0.1967418,0.0095289,0.2858332,0.990735,1,0.12530252,,0.09045524,,1,10.78703,0.0104688,0.7745221,0.5329217
2014-AZ,AZ,Arizona,2014,1,1,0,1,1,0.0870543,0.042909,0.0055109,0.0067557,0.421268,0.0338462,0.6309821,1,1,,0.0770359,,0.0551061,1,2.154743,,0.7744793,0.3411599
2016-AZ,AZ,Arizona,2016,1,1,0,1,1,,0.0376507,0.0087999,0.0039553,0.1857665,0.0269812,0.1832532,0.9855512,1,0.08287324,,0.06346135,,1,5.688967,0.0213564,0.809389,0.5501658
2018-AZ,AZ,Arizona,2018,1,1,0,1,1,0.0809728,0.0215892,0.0061836,0.0037385,,0.007,0.3360628,0.9909393,1,,0.0785671,,0.052186,1,2.807997,,0.8171514,0.4907542
2008-CA,CA,California,2008,0,0,,,,,0.0578562,0.0098768,0.0096583,0.1615253,0.0566575,0.373328,0.9675562,1,0.14775597,,0.08574958,,0,13.64365,0.0131903,0.8248458,0.6173517
2010-CA,CA,California,2010,0,0,0,0,0,,0.0519362,0.0064789,0.006904,0.3094001,0.0446684,0.7217111,0.9853116,1,,0.1123199,,0.0515269,0,,,0.7591342,0.4505084
2012-CA,CA,California,2012,0,0,0,0,0,,0.0814496,0.0136471,0.0045501,0.2938262,0.0848288,0.4602846,0.9831181,1,0.13636522,,0.09350371,,1,5.803193,0.0123927,0.8010042,0.5589381
2014-CA,CA,California,2014,1,0,0,0,0,0.096147,0.0506015,0.0054663,0.0065635,0.4949773,0.1152748,0.8375474,0.9956588,1,,0.1019497,,0.0417634,1,2.087554,,0.7414938,0.3078467
2016-CA,CA,California,2016,1,1,0,1,1,0.1585112,0.0894693,0.0132462,0.0040015,0.2917455,0.0473816,0.2925338,0.9912663,1,0.11564228,,0.07864251,,1,6.625767,0.0255033,0.797656,0.5668691
2018-CA,CA,California,2018,1,1,0,1,1,0.1767657,0.0778832,0.0106395,0.0116981,,0.0704771,0.6321295,0.9948491,1,,0.096105,,0.0338701,1,4.529634,,0.8101811,0.495903
2008-CO,CO,Colorado,2008,0,1,,,,,0.0218914,0.0033937,0.0032985,0.0900125,0.0580932,0.2623838,0.9396685,1,0.11898357,,0.06445456,,0,12.64701,0.0086181,0.840033,0.716011
2010-CO,CO,Colorado,2010,1,1,0,1,1,0.0664043,0.0215285,0.0020057,0.0043214,0.2199413,0.0299033,0.5702347,1,1,,0.098185,,0.0481646,1,,,0.8237152,0.5069619
2012-CO,CO,Colorado,2012,1,1,0,1,1,0.0167844,0.024222,0.003804,0.0063234,0.1249349,0.0365144,0.3044472,1,1,0.09195083,,0.06357475,,1,6.306886,0.0104516,0.8784338,0.7104929
2014-CO,CO,Colorado,2014,1,1,0,1,1,0.0244443,0.0004726,0.0001912,0.0071792,0.349731,0.0178598,0.6655581,1,1,,0.0721372,,0.0430391,1,1.402647,,0.8667469,0.5446357
2016-CO,CO,Colorado,2016,1,1,0,1,1,0.0329898,0.0020491,0.0005142,0.0080608,0.2216624,0.0161276,0.4022006,1,1,0.070554,,0.06149936,,1,2.399448,0.0276191,0.9004806,0.7009678
2018-CO,CO,Colorado,2018,1,1,1,1,1,0.0640666,0.0001806,0.0001338,0.0074121,,0.0205236,0.4559784,1,1,,0.0641624,,0.0527421,1,2.00508,,0.8841722,0.6295422
2008-CT,CT,Connecticut,2008,0,0,,,,0.0042329,0.0004347,0.0002718,0.0018683,,,,0.7778371,1,0.21747319,,0.04721039,,0,10.07436,,0.8556383,0.6664255
2010-CT,CT,Connecticut,2010,1,1,0,1,0,,0.0007982,0.0005009,0.0010764,0.0651016,0.015942,0.3603276,0.9439592,1,,0.1473903,,0.028935,0,,,0.8137398,0.459599
2012-CT,CT,Connecticut,2012,1,1,0,1,0,,0.0006171,0.0005402,0.0015096,0.0865572,0.0096428,0.1145186,0.7777778,1,0.18870133,,0.04193211,,0,8.502415,,0.844919,0.6099896
2014-CT,CT,Connecticut,2014,1,1,0,1,0,,0.0000173,8.21E-06,0.001098,0.083933,0.0183824,0.2668464,0.9444444,1,,0.1238912,,0.0245035,1,2.990191,,0.8114153,0.4253355
2016-CT,CT,Connecticut,2016,1,1,1,1,0,,0.0000394,0.0000215,0.0015108,0.0634724,0.0179473,0.1825397,0.8888889,1,0.20214406,,0.03287137,,1,6.073258,0.0185037,0.8654541,0.6421568
2018-CT,CT,Connecticut,2018,1,1,1,1,0,,9.85E-06,2.81E-06,0.0012134,0.0949442,0.0114082,,0.8785991,1,,0.1435107,,0.0317781,1,4.828114,,0.8331,0.5439393
2008-DC,DC,District of Columbia,2008,1,1,,,,,0.0648518,0.0183761,0.0103936,0.0366838,,0.5354439,0.7777778,0,0.26005191,,0.10069024,,0,,0.0038146,0.9090906,0.6169486
2010-DC,DC,District of Columbia,2010,1,1,0,1,1,0.0288014,0.0395889,0.0029298,0.0023482,0.3269511,0.1090343,0.7118492,1,1,,0.132365,,0.0612748,0,,,0.8470676,0.2957391
2012-DC,DC,District of Columbia,2012,1,1,0,1,1,0.0053329,0.1313015,0.0110279,0.0013458,0.2820159,0.015,0.1858887,1,1,0.24762523,,0.09262621,,0,33.85453,0.0016652,0.9245937,0.6196569
2014-DC,DC,District of Columbia,2014,1,1,0,1,1,0.0034302,0.1134082,0.0067371,0,0.2540129,0.1498638,0.5807229,1,1,,0.1066784,,0.0556776,1,6.901768,,0.8625319,0.3579111
2016-DC,DC,District of Columbia,2016,1,1,1,1,1,0.005027,0.0110537,0.0046723,0.0001058,0.2217489,0.0405405,0.1897547,1,1,0.20776799,,0.03172313,,1,16.3224,0.0041814,0.9363362,0.6085837
2018-DC,DC,District of Columbia,2018,1,1,1,1,1,0.0495441,0.0103841,0.0061761,0.0014329,0.2458871,0.0280374,0.4956795,1,1,,0.1241904,,0.072201,1,12.25722,,0.9082791,0.4374204
2008-DE,DE,Delaware,2008,1,0,,,,0.246144,0.0009478,0.0007987,0.0008011,0.0355968,0.0737514,0.2255319,1,1,0.21303475,,0.04752197,,0,12.16164,0.0027807,0.8579402,0.6583285
2010-DE,DE,Delaware,2010,1,0,1,1,1,0.1600311,0.0001042,0.0000979,0.0004357,0.0454772,0.0431177,0.6394261,1,1,,0.1426831,,0.0128883,0,,,0.8167546,0.4784293
2012-DE,DE,Delaware,2012,1,0,1,1,1,0.0414882,0.0010847,0.0010009,0.0005747,0.0763399,0.0977143,0.2850829,1,1,0.18058525,,0.05101806,,0,4.920934,0.0088689,0.8627042,0.6266024
2014-DE,DE,Delaware,2014,1,1,1,1,1,0.0523322,0.0002604,0.0002268,0.0002604,0.2352455,0.0149254,0.5833333,1,1,,0.1346084,,0.0097445,1,2.654505,,0.8248424,0.3435541
2016-DE,DE,Delaware,2016,1,1,1,1,1,0.0757975,0.0006604,0.0006091,0.0004819,0.119254,0.0399523,0.196,1,1,0.17922233,,0.04036922,,1,4.889554,0.0031759,0.8698691,0.6440257
2018-DE,DE,Delaware,2018,1,1,1,1,1,0.0068244,0.0003137,0.0002919,0.0019261,0.1868675,0.0136799,0.3815567,1,1,,0.1363971,,0.0222916,1,4.468648,,0.8376662,0.5144278
2008-FL,FL,Florida,2008,0,0,,,,0.0043993,0.0041851,0.0021517,0.0021675,0.1405957,0.0237567,0.2162445,1,1,0.16753253,,0.09558636,,0,28.8429,0.0073533,0.8768896,0.6663098
2010-FL,FL,Florida,2010,1,1,1,1,0,,0.002408,0.0006195,0.0032842,0.2898481,0.0410716,0.5955917,0.8888889,1,,0.1427553,,0.0495096,0,,,0.8182136,0.4228351
2012-FL,FL,Florida,2012,1,1,1,1,0,0.0629904,0.0049949,0.0021158,0.0024058,0.1815513,0.0308689,0.2495005,1,1,0.14670882,,0.0782752,,0,44.97699,0.007481,0.852604,0.6396278
2014-FL,FL,Florida,2014,1,1,0,1,0,0.0358024,0.0020797,0.0008905,0.0031405,0.2905891,0.0378265,0.6288099,1,1,,0.1320184,,0.0401903,0,3.599352,,0.8228478,0.4326273
2016-FL,FL,Florida,2016,1,1,0,1,0,0.0601564,0.0025443,0.0014002,0.0022856,0.2170942,0.0316635,0.2767455,0.9999695,1,0.13161255,,0.06030143,,0,5.551784,0.0081146,0.8701133,0.6464386
2018-FL,FL,Florida,2018,1,1,0,1,0,0.1074619,0.0016344,0.001008,0.0037458,0.2557576,0.0659338,0.4762005,0.9977963,1,,0.1179324,,0.0319729,1,5.929375,,0.8657085,0.5494362
2008-GA,GA,Georgia,2008,1,1,,,,0.0014454,0.0043675,0.0022621,0.000882,0.0164289,0.0225782,0.3132415,0.9998797,,0.14203437,,0.0584905,,0,37.57042,0.0053731,0.8493528,0.6273138
2010-GA,GA,Georgia,2010,1,1,1,1,0,0.0019959,0.0031868,0,0.0001697,0.0257251,0.0447316,0.7990428,0.993493,0,,0.141477,,0.0514005,0,,,0.7885268,0.4059247
2012-GA,GA,Georgia,2012,1,1,1,1,0,,0.0053178,0.002761,0.0001813,0.0168093,0.024003,0.3453543,0.9413403,0,0.16754481,,0.06287351,,0,17.77648,0.0049256,0.8632095,0.5865015
2014-GA,GA,Georgia,2014,1,1,1,1,1,0.0037512,0.0046812,0.0019952,0.0016662,0.1295609,0.0448065,0.4371418,0.9985401,0,,0.1291866,,0.0471081,1,7.374517,,0.7780347,0.3853082
2016-GA,GA,Georgia,2016,1,1,1,1,1,0.0029336,0.0040363,0.0022056,0.0032979,0.100842,0.0814246,0.2736933,1,0,0.14848693,,0.06040053,,1,16.55033,0.0057517,0.8330312,0.591585
2018-GA,GA,Georgia,2018,1,1,1,1,0,0.0025963,0.0054668,0.0024543,0.0019009,0.137941,0.0563194,0.3344725,0.9998013,0,,0.1522279,,0.0429129,1,15.396,,0.8381456,0.5502736
2008-HI,HI,Hawaii,2008,1,0,,,,,0.0011469,0.0008838,0.0018352,0.0893652,,,0.9012241,1,0.12623376,,0.06466489,,0,5.735971,0.0054807,0.6961197,0.4903561
2010-HI,HI,Hawaii,2010,1,0,1,0,0,,0.0005126,0.0003909,0.0030637,0.0772255,0.0619946,0.3410302,0.9262081,1,,0.1151493,,0.1021117,0,,,0.6577465,0.4009361
2012-HI,HI,Hawaii,2012,1,0,1,0,0,,0.0016278,0.0013943,0.0025322,0.0981071,,0.3262103,0.9262494,1,0.12792197,,0.0816899,,0,7.027607,0.005638,0.7091731,0.444745
2014-HI,HI,Hawaii,2014,1,1,1,0,0,,0.0004654,0.0004042,0.0016554,0.1423769,0.125,0.4751381,0.9494085,1,,0.0897427,,0.0969557,0,2.496192,,0.640036,0.3649429
2016-HI,HI,Hawaii,2016,1,1,1,0,0,,0.0019306,0.0016244,0.0028421,0.1524386,0.0259301,0.2264261,0.9710841,1,0.09996945,,0.07057734,,1,3.780215,0.01994,0.7187587,0.4217789
2018-HI,HI,Hawaii,2018,1,1,1,0,1,,0.0022976,0.0010585,0.0079902,0.215932,0.0111857,,0.8333333,1,,0.1024153,,0.05598,1,4.425862,,0.70885,0.3930122
2008-IA,IA,Iowa,2008,1,1,,,,0.0081065,0.002785,0.0002496,0.0027941,0.0513921,0.0813025,0.2499575,0.9444444,0,0.12207783,,0.03788294,,0,5.006278,0.0062291,0.8531576,0.6965688
2010-IA,IA,Iowa,2010,1,1,0,1,0,0.0022326,0.0017566,0.0003079,0.0037762,0.0597957,0.0373444,0.5475862,0.9993886,0,,0.0931856,,0.0328383,0,,,0.8240576,0.5079022
2012-IA,IA,Iowa,2012,1,1,0,1,0,0.0057212,0.0031422,0.000544,0.0051373,0.0700988,0.0592933,0.2159142,1,0,0.12272054,,0.01885386,,0,7.495293,0.0048876,0.864816,0.7024691
2014-IA,IA,Iowa,2014,1,1,0,1,0,0.0028298,0.0029896,0.0004141,0.0064308,0.1027749,0.0571956,0.3266332,1,0,,0.0727264,,0.0294497,0,1.907715,,0.8476908,0.502327
2016-IA,IA,Iowa,2016,1,1,0,1,0,0.0060064,0.0016144,0.000437,0.00268,0.0310747,0.0381659,0.2040688,0.9441887,0,0.09004534,,0.01586474,,1,3.84448,0.0097004,0.8584474,0.6837921
2018-IA,IA,Iowa,2018,1,1,0,1,0,0.0026163,0.0076019,0.0006078,0.0038208,0.0935736,0.0227155,0.2406899,0.9995574,1,,0.0740915,,0.0300386,1,2.884931,,0.8776672,0.5770594
2008-ID,ID,Idaho,2008,1,0,,,,,,,0.0013438,0.0334968,0.1277148,0.2272357,0.9375,0,0.15048735,,0.02202454,,0,6.491838,0.0186875,0.7710114,0.6484317
2010-ID,ID,Idaho,2010,1,1,0,1,,,,,0.0030563,0.0660938,0.2094595,0.5288932,0.9375,0,,0.1283618,,0.0168036,0,,,0.7121072,0.4277239
2012-ID,ID,Idaho,2012,1,1,0,1,,,,,0.0014318,0.0325269,0.1358954,0.1849817,0.9366804,0,0.13142571,,0.03208783,,0,7.092125,0.0210359,0.7705358,0.6087676
2014-ID,ID,Idaho,2014,1,1,0,1,,,,,0.0016191,0.1088059,0.1,0.2867257,0.9375,0,,0.1277858,,0.013506,0,1.959351,,0.701522,0.3960464
2016-ID,ID,Idaho,2016,1,1,0,1,,,,,0.0012329,0.029666,0.1374101,0.1514851,0.9375,0,0.1310991,,0.02422966,,0,8.013486,0.028305,0.7803469,0.591377
2018-ID,ID,Idaho,2018,1,1,0,1,,,0,0,0.0019393,0.0612896,0.0655367,0.2195767,0.9353741,0,,0.1197211,,0.0087345,1,6.496275,,0.7210763,0.5003255
2008-IL,IL,Illinois,2008,0,0,,,,0.0456816,,,,0.0742571,0.0297539,0.3062727,0.6392842,1,0.1864434,,0.06370506,,0,9.287217,0.0098856,0.852006,0.642565
2010-IL,IL,Illinois,2010,1,1,0,0,1,0.4036577,,0.0037248,0.0007608,0.1727937,0.046721,0.7815896,0.9379956,1,,0.130213,,0.0407699,0,,,0.8180088,0.4319448
2012-IL,IL,Illinois,2012,1,1,0,0,1,0.0369644,0.00383,0.0056721,0.0007937,0.0793134,,,0.8224649,1,0.1558387,,0.06105107,,0,11.71202,0.0071714,0.8482321,0.5930306
2014-IL,IL,Illinois,2014,1,1,0,0,1,,0.0088713,0.0023771,0.0013721,0.1461835,,,0.8199335,1,,0.125107,,0.0364421,1,4.490543,,0.8024021,0.4094988
2016-IL,IL,Illinois,2016,1,1,0,0,1,0.0340921,0.0047393,0.002206,0.001079,0.1204674,0.0246251,0.2156082,0.9996744,1,0.12755969,,0.04162676,,1,6.372737,0.0125823,0.8841081,0.619076
2018-IL,IL,Illinois,2018,1,1,0,0,1,,0.0040482,0.0014616,0.0019174,0.1596732,,,0.8936481,1,,0.1252018,,0.0237291,1,5.929732,,0.8636311,0.5140406
2008-IN,IN,Indiana,2008,1,1,,,,0.0204084,,,,0.0365818,,0.4717899,0.9436936,0,0.17045112,,0.06861136,,0,24.05688,0.0193628,0.8106478,0.6030463
2010-IN,IN,Indiana,2010,1,1,1,1,1,0.544636,0.0010168,0.0006178,0.0042425,,0.0681576,0.7370199,0.9826866,0,,0.1250947,,0.025923,1,,,0.7351322,0.3800622
2012-IN,IN,Indiana,2012,1,1,1,1,1,0.0407637,0.0018026,0.0015007,0.0045217,0.0065626,0.2058374,0.1347832,0.9932502,0,0.17448731,,0.06457779,,1,14.31977,0.0145808,0.7842379,0.5596369
2014-IN,IN,Indiana,2014,1,1,1,1,1,0.0404753,,,0.0044887,0.0088934,0.1613833,0.1029301,0.968887,0,,0.1069577,,0.0226889,1,4.858101,,0.751587,0.2882431
2016-IN,IN,Indiana,2016,1,1,1,1,1,0.0659661,0.0010711,0.0008437,0.0007399,0.0026247,0.0252196,0.0877317,1,0,0.17443781,,0.05207844,,1,17.09024,0.0177785,0.8135898,0.5636001
2018-IN,IN,Indiana,2018,1,1,1,1,1,0.058564,0.0009792,0.00072,,0.0054922,0.0156342,0.2012253,0.9883077,0,,0.1008081,,0.0290111,1,10.68126,,0.8190028,0.4688658
2008-KS,KS,Kansas,2008,0,1,,,,0.000404,0.031835,0.0098227,0.0032542,0.0658288,0.1010196,0.2447344,0.8860591,0,0.1657014,,0.05095426,,0,10.75167,,0.7717946,0.6347194
2010-KS,KS,Kansas,2010,1,1,1,1,0,0.0003471,0.0210888,0.0059079,0.0049309,0.1631055,0.0357654,0.7018052,1,0,,0.1197259,,0.0352724,1,,,0.7672316,0.4168779
2012-KS,KS,Kansas,2012,1,1,1,1,0,,0.0348477,0.0120929,0.0045388,,0.056887,0.2277816,0.9444444,0,0.15518427,,0.06523893,,1,11.49815,0.0224194,0.8128678,0.5812451
2014-KS,KS,Kansas,2014,1,1,1,0,0,,0.0256562,0.0074088,0.0025223,0.119611,0.0174927,0.208284,0.9444444,0,,0.1160567,,0.0262487,1,4.458911,,0.7505795,0.4340021
2016-KS,KS,Kansas,2016,1,1,1,0,0,,0.033406,0.0112114,0.0035644,0.0881266,0.0128312,0.1590704,0.939796,0,0.13775086,,0.05513639,,1,5.504723,0.025307,0.8075151,0.5772641
2018-KS,KS,Kansas,2018,1,1,0,1,0,,0.0220005,0.0058258,0.0014242,0.098428,0.003642,0.1043802,0.9419301,0,,0.1281831,,0.0298225,1,4.555366,,0.8262428,0.5115109
2008-KY,KY,Kentucky,2008,1,1,,,,,0.0004593,0.0003642,0.0010153,0.0618627,,0.2498479,0.7222222,0,0.22425771,,0.05889091,,0,12.31409,0.0188383,0.8316791,0.5895327
2010-KY,KY,Kentucky,2010,1,1,0,0,1,0.2089105,0.0000726,0.0000677,0.0008419,0.0254521,0.0656934,0.2651515,0.9995568,0,,0.17314,,0.0273906,0,,,0.764523,0.4414108
2012-KY,KY,Kentucky,2012,1,1,0,0,1,0.2089529,0.000158,0.0001305,0.000999,0.0808597,0.0809474,0.2237081,1,0,0.17743474,,0.04519943,,0,8.032156,0.0102602,0.8081189,0.5590128
2014-KY,KY,Kentucky,2014,1,1,0,0,1,,0.0000898,0.0000767,0.0009333,0.0679464,0.1018277,0.3571429,0.9444444,0,,0.1482159,,0.0271423,0,7.070019,,0.8075726,0.4403564
2016-KY,KY,Kentucky,2016,1,1,1,1,1,0.6719736,0.0001493,0.0001195,0.0011004,0.1036478,0.0418269,0.4587776,1,0,0.166482,,0.04025738,,1,7.643252,0.0166829,0.8296631,0.5872304
2018-KY,KY,Kentucky,2018,1,1,1,1,1,0.6378909,0.0001142,0.0001043,0.0010842,0.1165025,0.1324232,0.4279578,0.9990387,1,,0.156856,,0.0256004,1,8.267064,,0.8092319,0.4856621
2008-LA,LA,Louisiana,2008,1,0,,,,0.0590698,0.0040746,0.0023788,0.0009476,0.0259305,0.0691343,0.2909663,1,0,0.2016062,,0.04526043,,0,19.07261,0.0107515,0.8808801,0.6175855
2010-LA,LA,Louisiana,2010,1,1,1,1,1,0.1159358,0.0002171,0.000027,0.0006461,0.3442466,0.1043643,0.8804892,1,0,,0.1732257,,0.0413225,1,,,0.86245,0.3994141
2012-LA,LA,Louisiana,2012,1,1,1,1,1,0.0780137,0.0034063,0.0021112,0.0011784,0.2173492,0.0428422,0.3880275,1,0,0.17045942,,0.03318321,,1,20.24693,0.0101675,0.8502548,0.6100044
2014-LA,LA,Louisiana,2014,1,1,1,1,1,0.0992271,0.0010419,0.0006689,0.0012666,0.2978559,0.0640074,0.8479988,1,0,,0.1467682,,0.0382911,1,6.663304,,0.8212861,0.4505637
2016-LA,LA,Louisiana,2016,1,1,1,1,1,0.0528649,0.002409,0.0017826,0.0011079,0.2150946,0.0593993,0.4196441,1,1,0.18314131,,0.04184529,,1,12.29062,0.0100018,0.8641496,0.6001365
2018-LA,LA,Louisiana,2018,1,1,1,1,1,0.0559535,0.0006114,0.0004587,0.0017084,0.3282754,0.0956468,0.773755,1,1,,0.1427252,,0.0386513,1,5.057682,,0.8429124,0.4476399
2008-MA,MA,Massachusetts,2008,1,0,,,,,0.0037744,0.002718,0.0006381,0.0913532,0.073864,0.2611423,0.6666667,0,0.22329813,,0.08706032,,0,5.630793,0.006981,0.8705575,0.6727288
2010-MA,MA,Massachusetts,2010,1,0,1,0,0,0.0330891,0.0012405,0.0008707,,0.0588798,0.0794937,0.3245554,0.8756685,0,,0.171793,,0.0221932,0,,,0.8188984,0.4966685
2012-MA,MA,Massachusetts,2012,1,0,1,1,0,0.0334102,0.0040575,0.0030215,0.0007845,0.0823438,0.0050396,0.1808857,0.9998856,0,0.20336337,,0.06830429,,0,8.758975,0.0051595,0.8773614,0.6659518
2014-MA,MA,Massachusetts,2014,1,1,1,1,0,0.0475713,0.0012004,0.0008862,0.0004971,0.0906886,0.0067859,0.2935498,1,0,,0.1670783,,0.0200162,0,3.231891,,0.8059961,0.446268
2016-MA,MA,Massachusetts,2016,1,1,1,1,0,0.0334912,0.002175,0.0015227,0.0015248,0.1074175,0.0095038,0.1721112,0.9999976,1,0.19432175,,0.0651627,,1,5.338932,0.0159095,0.8767485,0.6721011
2018-MA,MA,Massachusetts,2018,1,1,1,1,0,0.0461883,0.0017424,0.0012159,0.0018728,0.1518861,0.0066093,0.1788859,0.9987447,1,,0.1625401,,0.0252902,1,3.697242,,0.8572566,0.5459034
2008-MD,MD,Maryland,2008,1,1,,,,,0.0192204,0.0064431,0.0007224,0.0926865,0.0856509,0.1741222,0.8888889,1,0.19235945,,0.09176812,,0,24.49189,0.0113862,0.8700553,0.6781721
2010-MD,MD,Maryland,2010,1,1,1,1,1,0.0211606,0.0199868,0.0017113,0.000607,0.1456143,0.1556095,0.7464697,0.9997876,1,,0.1379261,,0.0393463,0,,,0.812158,0.4647394
2012-MD,MD,Maryland,2012,1,1,1,1,1,0.0025462,0.0292138,0.0040703,0.0005537,0.1245651,0.1123021,0.2578093,1,1,0.19453773,,0.06644569,,1,29.18414,0.0097785,0.8707171,0.6681667
2014-MD,MD,Maryland,2014,1,1,1,1,1,0.0001112,0.0200928,0.0014927,0.0003977,0.1906705,0.0920852,0.4571671,1,1,,0.1217499,,0.0387829,1,4.791954,,0.8518541,0.4151856
2016-MD,MD,Maryland,2016,1,1,1,1,1,0.0015408,0.0280195,0.0033566,0.0008506,0.2210732,0.076238,0.3234063,1,1,0.16130018,,0.05530486,,1,15.78131,0.0092173,0.8847268,0.6659779
2018-MD,MD,Maryland,2018,1,1,1,1,1,0.0025933,0.0233435,0.0022628,0.0008552,0.2223271,0.0296821,0.3199795,1,1,,0.1298147,,0.0274132,1,9.851649,,0.8868241,0.5422356
2008-ME,ME,Maine,2008,1,0,,,,0.008236,,,0.0024635,0.0276688,0.0559273,0.2873508,0.9314949,0,0.13937449,,0.01420892,,0,4.3596,0.017856,0.8645574,0.7184191
2010-ME,ME,Maine,2010,1,0,1,0,,0.0104181,0.000275,0,0.0019584,0.0368565,0.0500759,0.5104012,0.9997647,0,,0.1015629,,0.0074562,0,,,0.8598595,0.5600411
2012-ME,ME,Maine,2012,1,0,1,0,,0.0165906,0.0004346,0,0.0029748,0.0319774,0.0794365,0.2551909,0.9999949,0,0.15452802,,0.01218966,,0,3.730127,0.015975,0.8545574,0.6916283
2014-ME,ME,Maine,2014,1,1,1,0,,0.0184159,0.0001396,0,0.0022104,0.0388701,0.03,0.2332361,0.9999197,0,,0.1191811,,0.0096398,0,4.767301,,0.8482357,0.5852008
