YearState,StateAbbreviation,StateName,ElectionYear,website_pollingplace,website_reg_status,website_precinct_ballot,website_absentee_status,website_provisional_status,reg_rej,prov_partic,prov_rej_all,abs_rej_all_ballots,abs_nonret,uocava_rej,uocava_nonret,eavs_completeness,post_election_audit,nonvoter_illness_onyear_pct,nonvoter_illness_offyear_pct,nonvoter_reg_onyear_pct,nonvoter_reg_offyear_pct,online_reg,wait,residual,pct_reg_of_vep_vrs,vep_turnout
2008-OK,OK,Oklahoma,2008,1,0,,,,,0.0019102,0.0015922,0.0013616,0.1699076,0.0595024,0.2772467,0.9444444,0,0.18444355,,0.0941416,,0,22.38293,,0.8108133,0.5630492
2010-OK,OK,Oklahoma,2010,1,0,0,0,0,,0.0006708,0.0005587,0.0011586,0.0809733,0.0831586,0.7196204,0.9423813,0,,0.1554832,,0.0521504,0,,,0.7027043,0.3869609
2012-OK,OK,Oklahoma,2012,1,0,0,0,0,,0.0039549,0.0026716,0.0014181,0.1564268,0.0545769,0.3106389,0.9444444,0,0.1740918,,0.09773163,,0,15.88929,0.0063333,0.7696237,0.4915721
2014-OK,OK,Oklahoma,2014,1,1,1,1,1,0.0760449,0.0019464,0.000946,0.0008672,0.2583625,0.0522293,0.8284153,1,0,,0.1344552,,0.0345127,0,4.016234,,0.7403718,0.2977914
2016-OK,OK,Oklahoma,2016,1,1,1,1,0,0.067791,0.0050317,0.0036977,0.0020232,0.170587,0.0521507,0.3447722,1,0,0.15385503,,0.07825445,,0,16.23908,,0.7826113,0.5237951
2018-OK,OK,Oklahoma,2018,1,1,1,1,1,0.0628204,0.0027663,0.0017664,0.002613,0.2624474,0.0343398,0.6977451,0.9998575,0,,0.1426,,0.0203463,1,7.196114,,0.7606827,0.4252453
2008-OR,OR,Oregon,2008,0,1,,,,,0.0017071,,0.0069996,0.1366947,,,0.6541629,1,0.09805038,,0.13361974,,0,,0.0094226,0.8504665,0.6833435
2010-OR,OR,Oregon,2010,1,1,0,1,0,,0.0008647,0.0000598,0.0086861,0.2798688,0.0768751,0.6532674,0.9049812,1,,0.0467481,,0.0941552,1,,,0.8419214,0.5389887
2012-OR,OR,Oregon,2012,1,1,1,1,0,,0.0009728,0.0000412,0.0073375,0.1704226,0.0207677,0.3434479,0.9388529,1,0.11949157,,0.13784543,,1,,0.0171584,0.8586776,0.6434369
2014-OR,OR,Oregon,2014,1,1,1,1,0,,0.0000457,6.53E-07,0.0066879,0.2882461,0.0176688,0.7394936,0.9444444,1,,0.0633121,,0.0905469,1,0.4556343,,0.8415758,0.5349874
2016-OR,OR,Oregon,2016,1,1,1,1,0,,0.0000663,0.0000317,0.0085666,0.1704226,0.019071,0.2342014,0.9444444,1,0.0895839,,0.13933808,,1,0.4887287,0.0244276,0.8863636,0.6643434
2018-OR,OR,Oregon,2018,1,1,1,1,0,,0.0000272,1.57E-06,,,0.0218968,0.5174718,0.8823529,1,,0.0767555,,0.0623466,1,0.4557241,,0.8851882,0.6151023
2008-PA,PA,Pennsylvania,2008,1,0,,,,0.3685709,0.0054186,0.0023927,0.00032,0.1132009,0.0066625,0.2062861,0.9444652,1,0.16668096,,0.05822749,,0,14.49461,0.0153798,0.8138801,0.6419321
2010-PA,PA,Pennsylvania,2010,1,1,0,0,1,0.5545776,0.0023761,0.0009188,0.0005849,0.1080918,0.0185846,0.6473984,1,1,,0.1322786,,0.0312362,0,,,0.763362,0.417215
2012-PA,PA,Pennsylvania,2012,1,1,0,0,1,0.0276397,0.0084722,0.0035026,0.000319,0.1211398,0.0188189,0.3073439,1,1,0.15651499,,0.03901308,,0,9.092713,,0.8098683,0.5935306
2014-PA,PA,Pennsylvania,2014,1,1,0,0,1,0.0461649,0.0023563,0.000814,0.0006715,0.0988652,0.0197119,0.6358365,1,1,,0.1305747,,0.0269794,0,1.464287,,0.7657499,0.3603182
2016-PA,PA,Pennsylvania,2016,1,1,0,0,1,0.09419,0.0042504,0.0015092,0.0004072,0.0889247,0.0272731,0.2450305,1,1,0.1544196,,0.03976578,,1,11.49782,,0.8205137,0.6355086
2018-PA,PA,Pennsylvania,2018,1,1,0,1,1,0.4125633,0.003247,0.0013777,0.0017229,0.0952187,0.1129127,0.7365437,0.9999772,1,,0.1334211,,0.0293026,1,5.384352,,0.8199865,0.5144293
2008-RI,RI,Rhode Island,2008,1,1,,,,,0.0015829,0.0006363,0.000181,0.0280802,,0.2053333,0.5,0,0.23239689,,0.08160677,,0,5.235795,0.0077025,0.8417301,0.6226074
2010-RI,RI,Rhode Island,2010,1,1,1,1,1,,0.0026504,0.0010567,0.0003811,0.1081912,0,0.3588111,0.9439893,0,,0.181577,,0.0446741,0,,,0.8048062,0.4489661
2012-RI,RI,Rhode Island,2012,1,1,1,1,1,,0.0052193,0.0028233,0.0007219,0.0988747,0.0017271,0.3321799,0.9455113,0,0.21198045,,0.06445334,,0,11.67514,0.0088438,0.8356545,0.5801999
2014-RI,RI,Rhode Island,2014,1,1,1,1,1,,0.0062514,0.0030362,0.0013649,0.1238387,0,0.2692308,0.9444444,0,,0.1338521,,0.0386624,0,2.535523,,0.7921281,0.4223694
2016-RI,RI,Rhode Island,2016,1,1,1,1,1,,0.00844,0.0040805,0.0022575,0.069342,0,0.1950399,0.9444444,0,0.18508898,,0.04371075,,1,8.298128,0.0116132,0.8585309,0.5904894
2018-RI,RI,Rhode Island,2018,1,1,1,1,1,,0.0100344,0.0048438,0.0019915,0.1415538,,,0.7647059,1,,0.1260464,,0.026352,1,4.73054,,0.8513975,0.4805119
2008-SC,SC,South Carolina,2008,0,1,,,,,0.0049406,0.002585,0.000559,0.0257519,0.0308621,0.26298,0.8796172,0,0.2167241,,0.07513268,,0,61.50213,0.0105646,0.8066244,0.5820379
2010-SC,SC,South Carolina,2010,1,1,0,1,1,,,,0.000474,0.0332898,0.0203602,0.2731929,0.889398,0,,0.1761461,,0.0595402,0,,,0.7775461,0.4033647
2012-SC,SC,South Carolina,2012,1,1,0,1,1,,,,0.000328,0.0317492,,0.2233468,0.8180441,0,0.21609727,,0.0607966,,1,25.17696,0.0087801,0.8249078,0.5708927
2014-SC,SC,South Carolina,2014,1,1,1,1,1,,0.0038158,0.0015805,0.0004225,0.0373182,0.0072569,0.3211823,0.9444444,1,,0.1575059,,0.0283965,1,8.403874,,0.7948049,0.3521205
2016-SC,SC,South Carolina,2016,1,1,1,1,1,,0.004753,0.0022753,0.001368,0.0217735,0.0061207,0.2037596,0.8888889,1,0.1745697,,0.04918834,,1,18.83706,0.0096803,0.8330215,0.5673478
2018-SC,SC,South Carolina,2018,1,1,1,1,1,,0.0031839,0.0012893,0.0012922,0.0929975,0.0045784,0.2136214,0.9407653,1,,0.1509566,,0.0239194,1,15.1104,,0.8084871,0.4520575
2008-SD,SD,South Dakota,2008,1,1,,,,,0.000839,,,0.0247254,,0.1427321,0.8119472,0,0.07955895,,0.07778592,,0,3.912501,0.0141283,0.8361611,0.6558928
2010-SD,SD,South Dakota,2010,1,1,1,1,0,0.0034499,0.0002268,0.0002106,0.00062,,,0.2581081,0.9694064,0,,0.0973362,,0.0471965,0,,,0.811803,0.538636
2012-SD,SD,South Dakota,2012,1,1,1,1,0,,0.0011957,0.00093,0.0004013,0.0215005,0.056005,0.2179742,0.9725954,0,0.09250011,,0.08560098,,0,4.274655,0.0129012,0.8313653,0.6014437
2014-SD,SD,South Dakota,2014,1,1,1,1,0,0.0006311,0.001733,0.0011742,0.0006119,0.0221396,0.035533,0.2959002,1,0,,0.0891181,,0.040248,0,1.934741,,0.7525272,0.44947
2016-SD,SD,South Dakota,2016,1,1,1,1,0,0.0003893,0.0010161,,0.0009652,0.0079744,0.0346166,0.3014336,0.9848165,0,0.09996125,,0.06240718,,0,4.749842,0.0234884,0.8417823,0.5846753
2018-SD,SD,South Dakota,2018,1,1,1,1,0,0.0003374,0.0008189,0.0006569,0.0009102,0.0257209,0.0183486,0.1229885,0.9991283,0,,0.1000544,,0.0476965,0,3.181791,,0.8008971,0.5325405
2008-TN,TN,Tennessee,2008,1,1,,,,,0.0016775,0.001058,0.0009786,,0.0537774,0.174034,0.8842599,0,0.17391336,,0.10324624,,0,19.43365,0.0065219,0.8022472,0.5737734
2010-TN,TN,Tennessee,2010,1,1,0,0,0,,0.0003967,0.0002561,0.0001135,0.066015,0.0387472,0.2934063,0.9799823,1,,0.1629366,,0.0495555,0,,,0.7630033,0.3465278
2012-TN,TN,Tennessee,2012,1,1,0,0,0,,0.0028583,0.0022039,0.0002476,0.0736923,0.0590969,0.2213037,0.9898868,1,0.16834518,,0.06841523,,0,13.6949,0.0087111,0.7862397,0.5261003
2014-TN,TN,Tennessee,2014,1,1,1,0,0,0.1000298,0.0010258,0.0005944,0.0000856,0.1024608,0.0365127,0.3652381,0.9955469,1,,0.1419044,,0.0389349,0,6.582538,,0.7431226,0.2856352
2016-TN,TN,Tennessee,2016,1,1,1,0,0,0.0732938,0.004592,0.0033065,0.000233,0.0923587,0.0419968,0.2111828,1,1,0.14362681,,0.07830131,,0,10.07612,0.0146326,0.7851641,0.5119066
2018-TN,TN,Tennessee,2018,1,1,1,1,0,0.1341886,0.0034727,0.0023101,0.0003771,0.0883589,0.0507086,0.2293515,0.9982665,1,,0.1520871,,0.0336428,1,9.024212,,0.7474205,0.4506859
2008-TX,TX,Texas,2008,0,1,,,,0.2131805,0.0051113,0.003938,0.0019582,0.087005,0.0644787,0.3066428,0.9739842,1,0.13463944,,0.06953745,,0,12.03378,,0.7947317,0.5410514
