State,Total Population,Male,Female,Under 5 Years,5-9 Years,10-14 Years,15-19 Years,20-24 Years,25-34 Years,35-44 Years,45-54 Years,55-59 Years,60-64 Years,65-74 Years,75-84 Years,85+ Years,Meadian age (years),18+ Years (All),18+ (Male),18+ (Female),21+ Years,62+ Years,65+ Years,65+ Years (Male),65+ Years (Female),One Race,White,Black or African American,American Indian and Alaska Native,Asian,Asian Indian,Chinese,Filipino,Japanese,Korean,Vietnamese,Other Asian,Native Hawaiian and Other Pacific Islander,Native Hawaiian.,Guamanian or Chamorro,Samoan,Other Pacific Islander,Some other race,Two or more races,White,Black or African American . .,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some other race,Total Population,Hispanic or Latino (of any race) .,Mexican,Puerto Rican,Cuban,Other Hispanic or Latino,Not Hispanic or Latino,White alone,Total Population,In households,Householder,Spouse,Child,Own child under 18 years,Other relatives,Other relatives-Under 18,Nonrelatives,Unmarried partner,In group quarters,Institutionalized population,Noninstitutionalized population,Total households,Family households (families).,With own children under 18 years,Married-couple family,With own children under 18 years,"Female householder, no husband present",With own children under 18 years,Nonfamily households,Householder living alone,Householder 65 years and over,Households with individuals under 18 years,Households with individuals 65 years and over ,Average household size,Average family size,Total housing units.,Occupied housing units,Vacant housing units,"For seasonal, recreational, or occasional use",Homeowner vacancy rate (percent),Rental vacancy rate (percent).,Occupied housing units,Owner-occupied housing units,Renter-occupied housing units,Average household size of owner-occupied units,Average household size of renter-occupied units
Massachusetts,"6,349,097 ","3,058,816 ","3,290,281 ","397,268 ","430,861 ","431,247 ","415,737 ","404,279 ","926,788 ","1,062,995 ","873,353 ","310,002 ","236,405 ","427,830 ","315,640 ","116,692 ",36.50 ,"4,849,033 ","2,289,671 ","2,559,362 ","4,587,935 ","997,277 ","860,162 ","341,539 ","518,623 ","6,203,092 ","5,367,286 ","343,454 ","15,015 ","238,124 ","43,801 ","84,392 ","8,273 ","10,539 ","17,369 ","33,962 ","39,788 ","2,489 ",562 ,529 ,476 ,922 ,"236,724 ","146,005 ","5,472,809 ","398,479 ","38,050 ","264,814 ","8,704 ","320,907 ","6,349,097 ","428,729 ","22,288 ","199,207 ","8,867 ","198,367 ","5,920,368 ","5,198,359 ","6,349,097 ","6,127,881 ","2,443,580 ","1,197,917 ","1,844,182 ","1,382,189 ","283,525 ","87,502 ","358,677 ","130,919 ","221,216 ","88,453 ","132,763 ","2,443,580 ","1,576,696 ","748,865 ","1,197,917 ","548,360 ","289,944 ","163,550 ","866,884 ","684,345 ","256,137 ","804,940 ","604,481 ",2.51 ,3.11 ,"2,621,989 ","2,443,580 ","178,409 ","93,771 ",0.70 ,3.50 ,"2,443,580 ","1,508,052 ","935,528 ",2.72 ,2.17 
Michigan,"9,938,444 ","4,873,095 ","5,065,349 ","672,005 ","745,181 ","747,012 ","719,867 ","643,839 ","1,362,171 ","1,598,373 ","1,367,939 ","485,895 ","377,144 ","642,880 ","433,678 ","142,460 ",35.50 ,"7,342,677 ","3,541,373 ","3,801,304 ","6,914,135 ","1,436,729 ","1,219,018 ","500,959 ","718,059 ","9,746,028 ","7,966,053 ","1,412,742 ","58,479 ","176,510 ","54,631 ","33,189 ","17,377 ","11,288 ","20,886 ","13,673 ","25,466 ","2,692 ",734 ,622 ,505 ,831 ,"129,552 ","192,416 ","8,133,283 ","1,474,613 ","124,412 ","208,329 ","7,276 ","195,724 ","9,938,444 ","323,877 ","220,769 ","26,941 ","7,219 ","68,948 ","9,614,567 ","7,806,691 ","9,938,444 ","9,688,555 ","3,785,661 ","1,947,710 ","3,037,440 ","2,347,192 ","432,980 ","183,621 ","484,764 ","202,220 ","249,889 ","126,132 ","123,757 ","3,785,661 ","2,575,699 ","1,236,713 ","1,947,710 ","873,227 ","473,802 ","283,758 ","1,209,962 ","993,607 ","355,414 ","1,347,469 ","862,730 ",2.56 ,3.10 ,"4,234,279 ","3,785,661 ","448,618 ","233,922 ",1.60 ,6.80 ,"3,785,661 ","2,793,124 ","992,537 ",2.67 ,2.24 
Minnesota,"4,919,479 ","2,435,631 ","2,483,848 ","329,594 ","355,894 ","374,995 ","374,362 ","322,483 ","673,138 ","824,182 ","665,696 ","226,857 ","178,012 ","295,825 ","212,840 ","85,601 ",35.40 ,"3,632,585 ","1,775,400 ","1,857,185 ","3,414,300 ","696,775 ","594,266 ","246,847 ","347,419 ","4,836,737 ","4,400,282 ","171,731 ","54,967 ","141,968 ","16,887 ","16,060 ","6,284 ","3,816 ","12,584 ","18,824 ","67,513 ","1,979 ",593 ,266 ,508 ,612 ,"65,810 ","82,742 ","4,466,325 ","202,972 ","81,074 ","162,414 ","5,867 ","89,042 ","4,919,479 ","143,382 ","95,613 ","6,616 ","2,527 ","38,626 ","4,776,097 ","4,337,143 ","4,919,479 ","4,783,596 ","1,895,127 ","1,018,245 ","1,472,917 ","1,210,443 ","136,159 ","47,983 ","261,148 ","100,358 ","135,883 ","63,058 ","72,825 ","1,895,127 ","1,255,141 ","626,291 ","1,018,245 ","477,615 ","168,782 ","111,371 ","639,986 ","509,468 ","177,056 ","658,565 ","402,837 ",2.52 ,3.09 ,"2,065,946 ","1,895,127 ","170,819 ","105,609 ",0.90 ,4.10 ,"1,895,127 ","1,412,865 ","482,262 ",2.69 ,2.03 
Mississippi,"2,844,658 ","1,373,554 ","1,471,104 ","204,364 ","216,920 ","218,742 ","233,188 ","212,947 ","381,798 ","425,372 ","361,981 ","132,202 ","113,621 ","185,710 ","114,922 ","42,891 ",33.80 ,"2,069,471 ","977,930 ","1,091,541 ","1,923,445 ","409,722 ","343,523 ","135,890 ","207,633 ","2,824,637 ","1,746,099 ","1,033,809 ","11,652 ","18,626 ","3,827 ","3,099 ","2,608 ",766 ,"1,334 ","5,387 ","1,605 ",667 ,197 ,213 ,157 ,100 ,"13,784 ","20,021 ","1,761,658 ","1,041,708 ","19,555 ","23,281 ","1,901 ","18,635 ","2,844,658 ","39,569 ","21,616 ","2,881 ","1,508 ","13,564 ","2,805,089 ","1,727,908 ","2,844,658 ","2,749,244 ","1,046,434 ","520,844 ","883,590 ","657,312 ","192,598 ","101,556 ","105,778 ","46,738 ","95,414 ","50,826 ","44,588 ","1,046,434 ","747,159 ","363,416 ","520,844 ","234,484 ","180,705 ","106,203 ","299,275 ","257,708 ","100,616 ","414,602 ","248,129 ",2.63 ,3.14 ,"1,161,953 ","1,046,434 ","115,519 ","21,845 ",1.60 ,9.20 ,"1,046,434 ","756,967 ","289,467 ",2.67 ,2.52 
Missouri,"5,595,211 ","2,720,177 ","2,875,034 ","369,898 ","398,898 ","412,080 ","413,296 ","369,498 ","738,733 ","887,569 ","742,462 ","279,073 ","228,325 ","393,226 ","263,582 ","98,571 ",36.10 ,"4,167,519 ","1,988,560 ","2,178,959 ","3,919,855 ","887,864 ","755,379 ","307,235 ","448,144 ","5,513,150 ","4,748,083 ","629,391 ","25,076 ","61,595 ","12,169 ","13,667 ","7,735 ","3,337 ","6,767 ","10,626 ","7,294 ","3,178 ",594 ,435 ,"1,116 ","1,033 ","45,827 ","82,061 ","4,819,487 ","655,377 ","60,099 ","76,210 ","6,635 ","64,880 ","5,595,211 ","118,592 ","77,887 ","6,677 ","3,022 ","31,006 ","5,476,619 ","4,686,474 ","5,595,211 ","5,433,153 ","2,194,594 ","1,140,866 ","1,632,535 ","1,293,406 ","215,253 ","96,412 ","249,905 ","111,010 ","162,058 ","90,430 ","71,628 ","2,194,594 ","1,476,516 ","699,779 ","1,140,866 ","497,201 ","253,760 ","156,571 ","718,078 ","599,808 ","225,631 ","762,492 ","525,811 ",2.48 ,3.02 ,"2,442,017 ","2,194,594 ","247,423 ","66,053 ",2.10 ,9.00 ,"2,194,594 ","1,542,149 ","652,445 ",2.59 ,2.20 
Montana,"902,195 ","449,480 ","452,715 ","54,869 ","61,963 ","69,298 ","71,310 ","58,379 ","103,279 ","141,941 ","135,088 ","47,174 ","37,945 ","62,519 ","43,093 ","15,337 ",37.50 ,"672,133 ","331,235 ","340,898 ","631,866 ","142,988 ","120,949 ","52,942 ","68,007 ","886,465 ","817,229 ","2,692 ","56,068 ","4,691 ",379 ,827 ,859 ,885 ,833 ,199 ,709 ,470 ,217 ,73 ,72 ,108 ,"5,315 ","15,730 ","831,978 ","4,441 ","66,320 ","7,101 ","1,077 ","7,834 ","902,195 ","18,081 ","11,735 ",931 ,285 ,"5,130 ","884,114 ","807,823 ","902,195 ","877,433 ","358,667 ","192,067 ","254,549 ","211,642 ","26,425 ","11,907 ","45,725 ","17,941 ","24,762 ","12,068 ","12,694 ","358,667 ","237,407 ","111,807 ","192,067 ","82,384 ","32,016 ","21,201 ","121,260 ","98,422 ","35,991 ","119,550 ","83,982 ",2.45 ,2.99 ,"412,633 ","358,667 ","53,966 ","24,213 ",2.20 ,7.60 ,"358,667 ","247,723 ","110,944 ",2.55 ,2.22 
Nebraska,"1,711,263 ","843,351 ","867,912 ","117,048 ","123,445 ","128,934 ","134,909 ","120,331 ","223,273 ","263,834 ","225,754 ","77,584 ","63,956 ","115,699 ","82,543 ","33,953 ",35.30 ,"1,261,021 ","612,965 ","648,056 ","1,180,859 ","269,893 ","232,195 ","95,630 ","136,565 ","1,687,310 ","1,533,261 ","68,541 ","14,896 ","21,931 ","3,273 ","3,093 ","2,101 ","1,582 ","2,423 ","6,364 ","3,095 ",836 ,244 ,273 ,111 ,208 ,"47,845 ","23,953 ","1,554,164 ","75,833 ","22,204 ","26,809 ","1,733 ","55,996 ","1,711,263 ","94,425 ","71,030 ","1,993 ",859 ,"20,543 ","1,616,838 ","1,494,494 ","1,711,263 ","1,660,445 ","666,184 ","360,996 ","505,755 ","420,245 ","47,877 ","18,621 ","79,633 ","29,537 ","50,818 ","26,011 ","24,807 ","666,184 ","443,411 ","217,636 ","360,996 ","165,564 ","60,343 ","39,685 ","222,773 ","183,550 ","71,013 ","229,980 ","157,560 ",2.49 ,3.06 ,"722,668 ","666,184 ","56,484 ","11,912 ",1.80 ,7.60 ,"666,184 ","449,317 ","216,867 ",2.63 ,2.20 
Nevada,"1,998,257 ","1,018,051 ","980,206 ","145,817 ","149,322 ","139,193 ","127,169 ","130,006 ","306,611 ","321,961 ","269,050 ","105,057 ","85,142 ","131,775 ","70,165 ","16,989 ",35.00 ,"1,486,458 ","754,857 ","731,601 ","1,411,378 ","268,104 ","218,929 ","101,968 ","116,961 ","1,921,829 ","1,501,886 ","135,477 ","26,420 ","90,266 ","5,535 ","14,113 ","40,529 ","8,277 ","7,554 ","4,420 ","9,838 ","8,426 ","3,471 ","1,346 ","1,474 ","2,135 ","159,354 ","76,428 ","1,565,866 ","150,508 ","42,222 ","112,456 ","16,234 ","193,720 ","1,998,257 ","393,970 ","285,764 ","10,420 ","11,498 ","86,288 ","1,604,287 ","1,303,001 ","1,998,257 ","1,964,582 ","751,165 ","373,201 ","558,609 ","451,743 ","134,013 ","44,898 ","147,594 ","53,902 ","33,675 ","22,173 ","11,502 ","751,165 ","498,333 ","238,846 ","373,201 ","166,072 ","83,482 ","50,675 ","252,832 ","186,745 ","53,564 ","264,800 ","159,831 ",2.62 ,3.14 ,"827,457 ","751,165 ","76,292 ","16,526 ",2.60 ,9.70 ,"751,165 ","457,247 ","293,918 ",2.71 ,2.47 
New Hampshire,"1,235,786 ","607,687 ","628,099 ","75,685 ","88,537 ","93,255 ","86,688 ","68,766 ","160,061 ","221,179 ","183,986 ","62,664 ","46,995 ","78,327 ","51,412 ","18,231 ",37.10 ,"926,224 ","449,034 ","477,190 ","875,763 ","175,105 ","147,970 ","62,134 ","85,836 ","1,222,572 ","1,186,851 ","9,035 ","2,964 ","15,931 ","3,873 ","4,074 ","1,203 ",877 ,"1,800 ","1,697 ","2,407 ",371 ,117 ,83 ,63 ,108 ,"7,420 ","13,214 ","1,198,927 ","12,218 ","7,885 ","19,219 ",777 ,"10,895 ","1,235,786 ","20,489 ","4,590 ","6,215 ",785 ,"8,899 ","1,215,297 ","1,175,252 ","1,235,786 ","1,200,247 ","474,606 ","262,438 ","356,277 ","289,296 ","37,319 ","12,458 ","69,607 ","32,560 ","35,539 ","13,784 ","21,755 ","474,606 ","323,651 ","158,410 ","262,438 ","120,337 ","42,952 ","27,257 ","150,955 ","116,014 ","40,484 ","168,371 ","101,849 ",2.53 ,3.03 ,"547,024 ","474,606 ","72,418 ","56,413 ",1.00 ,3.50 ,"474,606 ","330,700 ","143,906 ",2.70 ,2.14 
New Jersey,"8,414,350 ","4,082,813 ","4,331,537 ","563,785 ","604,529 ","590,577 ","525,216 ","480,079 ","1,189,040 ","1,435,106 ","1,158,898 ","423,338 ","330,646 ","574,669 ","402,468 ","135,999 ",36.70 ,"6,326,792 ","3,013,338 ","3,313,454 ","6,033,473 ","1,303,854 ","1,113,136 ","446,780 ","666,356 ","8,200,595 ","6,104,705 ","1,141,821 ","19,492 ","480,276 ","169,180 ","100,355 ","85,245 ","14,672 ","65,349 ","15,180 ","30,295 ","3,329 ",634 ,779 ,563 ,"1,353 ","450,972 ","213,755 ","6,261,187 ","1,211,750 ","49,104 ","524,356 ","10,065 ","583,527 ","8,414,350 ","1,117,191 ","102,929 ","366,788 ","77,337 ","570,137 ","7,297,159 ","5,557,209 ","8,414,350 ","8,219,529 ","3,064,645 ","1,638,322 ","2,588,787 ","1,880,026 ","542,959 ","171,395 ","384,816 ","151,318 ","194,821 ","110,169 ","84,652 ","3,064,645 ","2,154,539 ","1,025,556 ","1,638,322 ","776,205 ","387,012 ","196,809 ","910,106 ","751,287 ","300,688 ","1,122,728 ","793,781 ",2.68 ,3.21 ,"3,310,275 ","3,064,645 ","245,630 ","109,075 ",1.20 ,4.50 ,"3,064,645 ","2,011,473 ","1,053,172 ",2.81 ,2.43 
New Mexico,"1,819,046 ","894,317 ","924,729 ","130,628 ","141,171 ","147,309 ","145,751 ","121,291 ","234,091 ","282,009 ","245,819 ","87,140 ","71,612 ","117,745 ","71,174 ","23,306 ",34.60 ,"1,310,472 ","635,067 ","675,405 ","1,227,546 ","253,786 ","212,225 ","93,199 ","119,026 ","1,752,719 ","1,214,253 ","34,343 ","173,483 ","19,255 ","3,104 ","3,979 ","2,888 ","1,964 ","1,791 ","3,274 ","2,255 ","1,503 ",498 ,363 ,290 ,352 ,"309,882 ","66,327 ","1,272,116 ","42,412 ","191,475 ","26,619 ","3,069 ","352,963 ","1,819,046 ","765,386 ","330,049 ","4,488 ","2,588 ","428,261 ","1,053,660 ","813,495 ","1,819,046 ","1,782,739 ","677,971 ","341,818 ","566,934 ","445,404 ","106,021 ","51,657 ","89,995 ","43,542 ","36,307 ","19,178 ","17,129 ","677,971 ","466,515 ","235,030 ","341,818 ","157,745 ","89,622 ","56,133 ","211,456 ","172,181 ","55,852 ","261,684 ","151,722 ",2.63 ,3.18 ,"780,579 ","677,971 ","102,608 ","31,990 ",2.20 ,11.60 ,"677,971 ","474,445 ","203,526 ",2.72 ,2.41 
New York,"18,976,457 ","9,146,748 ","9,829,709 ","1,239,417 ","1,351,857 ","1,332,433 ","1,287,544 ","1,244,309 ","2,757,324 ","3,074,298 ","2,552,936 ","932,008 ","755,979 ","1,276,046 ","860,818 ","311,488 ",35.90 ,"14,286,350 ","6,744,091 ","7,542,259 ","13,505,172 ","2,884,520 ","2,448,352 ","976,138 ","1,472,214 ","18,386,275 ","12,893,689 ","3,014,385 ","82,461 ","1,044,976 ","251,724 ","424,774 ","81,681 ","37,279 ","119,846 ","23,818 ","105,854 ","8,818 ","1,684 ","1,931 ","1,475 ","3,728 ","1,341,946 ","590,182 ","13,275,834 ","3,234,165 ","171,581 ","1,169,200 ","28,612 ","1,721,699 ","18,976,457 ","2,867,583 ","260,889 ","1,050,293 ","62,590 ","1,493,811 ","16,108,874 ","11,760,981 ","18,976,457 ","18,395,996 ","7,056,860 ","3,289,514 ","5,737,989 ","4,155,866 ","1,270,513 ","409,045 ","1,041,120 ","377,556 ","580,461 ","262,262 ","318,199 ","7,056,860 ","4,639,387 ","2,231,381 ","3,289,514 ","1,527,187 ","1,038,176 ","573,384 ","2,417,473 ","1,982,742 ","715,550 ","2,466,483 ","1,767,452 ",2.61 ,3.22 ,"7,679,307 ","7,056,860 ","622,447 ","235,043 ",1.60 ,4.60 ,"7,056,860 ","3,739,166 ","3,317,694 ",2.78 ,2.41 
North Carolina,"8,049,313 ","3,942,695 ","4,106,618 ","539,509 ","562,553 ","551,367 ","539,931 ","577,508 ","1,213,415 ","1,287,120 ","1,085,150 ","400,207 ","323,505 ","533,777 ","329,810 ","105,461 ",35.30 ,"6,085,266 ","2,936,570 ","3,148,696 ","5,733,268 ","1,157,861 ","969,048 ","389,011 ","580,037 ","7,946,053 ","5,804,656 ","1,737,545 ","99,551 ","113,689 ","26,197 ","18,984 ","9,592 ","5,664 ","12,600 ","15,596 ","25,056 ","3,983 ",932 ,"1,313 ",823 ,915 ,"186,629 ","103,260 ","5,884,608 ","1,776,283 ","131,736 ","136,212 ","8,574 ","223,222 ","8,049,313 ","378,963 ","246,545 ","31,117 ","7,389 ","93,912 ","7,670,350 ","5,647,155 ","8,049,313 ","7,795,432 ","3,132,013 ","1,645,346 ","2,218,247 ","1,744,451 ","413,465 ","174,201 ","386,361 ","143,680 ","253,881 ","106,659 ","147,222 ","3,132,013 ","2,158,869 ","995,648 ","1,645,346 ","707,506 ","389,997 ","227,351 ","973,144 ","795,271 ","270,141 ","1,104,659 ","682,982 ",2.49 ,2.98 ,"3,523,944 ","3,132,013 ","391,931 ","134,870 ",2.00 ,8.80 ,"3,132,013 ","2,172,355 ","959,658 ",2.54 ,2.37 
North Dakota,"642,200 ","320,524 ","321,676 ","39,400 ","42,982 ","47,464 ","53,618 ","50,503 ","76,887 ","98,004 ","85,431 ","28,926 ","24,507 ","45,901 ","33,851 ","14,726 ",36.20 ,"481,351 ","237,953 ","243,398 ","447,103 ","109,097 ","94,478 ","39,881 ","54,597 ","634,802 ","593,181 ","3,916 ","31,329 ","3,606 ",822 ,606 ,643 ,186 ,411 ,478 ,460 ,230 ,52 ,30 ,52 ,96 ,"2,540 ","7,398 ","599,918 ","5,372 ","35,228 ","4,967 ",475 ,"4,042 ","642,200 ","7,786 ","4,295 ",507 ,250 ,"2,734 ","634,414 ","589,149 ","642,200 ","618,569 ","257,152 ","137,433 ","182,394 ","152,563 ","12,947 ","4,980 ","28,643 ","11,379 ","23,631 ","9,688 ","13,943 ","257,152 ","166,150 ","80,453 ","137,433 ","62,002 ","20,148 ","13,639 ","91,002 ","75,420 ","29,487 ","83,975 ","63,607 ",2.41 ,3.00 ,"289,677 ","257,152 ","32,525 ","8,340 ",2.70 ,8.20 ,"257,152 ","171,299 ","85,853 ",2.60 ,2.02 
Ohio,"11,353,140 ","5,512,262 ","5,840,878 ","754,930 ","816,346 ","827,811 ","816,868 ","728,928 ","1,519,894 ","1,805,316 ","1,566,384 ","553,174 ","455,732 ","790,252 ","540,709 ","176,796 ",36.20 ,"8,464,801 ","4,034,377 ","4,430,424 ","7,977,101 ","1,773,210 ","1,507,757 ","608,559 ","899,198 ","11,195,255 ","9,645,453 ","1,301,307 ","24,486 ","132,633 ","38,752 ","30,425 ","12,393 ","10,732 ","13,376 ","9,812 ","17,143 ","2,749 ",788 ,618 ,565 ,778 ,"88,627 ","157,885 ","9,779,512 ","1,372,501 ","76,075 ","159,776 ","6,984 ","128,671 ","11,353,140 ","217,123 ","90,663 ","66,269 ","5,152 ","55,039 ","11,136,017 ","9,538,111 ","11,353,140 ","11,054,019 ","4,445,773 ","2,285,798 ","3,377,343 ","2,632,157 ","442,815 ","192,631 ","502,290 ","229,089 ","299,121 ","172,368 ","126,753 ","4,445,773 ","2,993,023 ","1,409,912 ","2,285,798 ","996,042 ","536,878 ","323,095 ","1,452,750 ","1,215,614 ","446,396 ","1,534,008 ","1,058,224 ",2.49 ,3.04 ,"4,783,051 ","4,445,773 ","337,278 ","47,239 ",1.60 ,8.30 ,"4,445,773 ","3,072,522 ","1,373,251 ",2.62 ,2.19 
Oklahoma,"3,450,654 ","1,695,895 ","1,754,759 ","236,353 ","244,525 ","252,029 ","269,373 ","247,165 ","451,647 ","523,522 ","453,761 ","173,199 ","143,130 ","242,499 ","156,276 ","57,175 ",35.50 ,"2,558,294 ","1,238,267 ","1,320,027 ","2,393,620 ","539,188 ","455,950 ","188,111 ","267,839 ","3,294,669 ","2,628,434 ","260,968 ","273,230 ","46,767 ","8,502 ","6,964 ","4,028 ","2,505 ","5,074 ","12,566 ","7,128 ","2,372 ",702 ,585 ,388 ,697 ,"82,898 ","155,985 ","2,770,035 ","284,766 ","391,949 ","58,723 ","5,123 ","102,585 ","3,450,654 ","179,304 ","132,813 ","8,153 ","1,759 ","36,579 ","3,271,350 ","2,556,368 ","3,450,654 ","3,338,279 ","1,342,293 ","717,611 ","989,710 ","796,868 ","153,263 ","72,426 ","135,402 ","53,307 ","112,375 ","66,746 ","45,629 ","1,342,293 ","921,750 ","434,793 ","717,611 ","311,735 ","152,575 ","94,403 ","420,543 ","358,560 ","135,273 ","479,275 ","319,395 ",2.49 ,3.02 ,"1,514,400 ","1,342,293 ","172,107 ","32,293 ",2.50 ,10.60 ,"1,342,293 ","918,259 ","424,034 ",2.55 ,2.36 
Oregon,"3,421,399 ","1,696,550 ","1,724,849 ","223,005 ","234,474 ","242,098 ","244,427 ","230,406 ","470,695 ","526,574 ","507,155 ","173,008 ","131,380 ","219,342 ","161,404 ","57,431 ",36.30 ,"2,574,873 ","1,262,405 ","1,312,468 ","2,429,348 ","513,663 ","438,177 ","186,477 ","251,700 ","3,316,654 ","2,961,623 ","55,662 ","45,211 ","101,350 ","9,575 ","20,930 ","10,627 ","12,131 ","12,387 ","18,890 ","16,810 ","7,976 ","2,244 ","1,015 ","1,124 ","3,593 ","144,832 ","104,745 ","3,055,670 ","72,647 ","85,667 ","127,339 ","16,019 ","176,866 ","3,421,399 ","275,314 ","214,662 ","5,092 ","3,091 ","52,469 ","3,146,085 ","2,857,616 ","3,421,399 ","3,343,908 ","1,333,723 ","692,532 ","937,610 ","766,709 ","144,570 ","51,617 ","235,473 ","84,634 ","77,491 ","37,901 ","39,590 ","1,333,723 ","877,671 ","410,803 ","692,532 ","296,404 ","130,782 ","83,131 ","456,052 ","347,624 ","121,200 ","445,764 ","305,475 ",2.51 ,3.02 ,"1,452,709 ","1,333,723 ","118,986 ","36,850 ",2.30 ,7.30 ,"1,333,723 ","856,951 ","476,772 ",2.59 ,2.36 
Pennsylvania,"12,281,054 ","5,929,663 ","6,351,391 ","727,804 ","827,945 ","863,849 ","850,986 ","746,086 ","1,560,486 ","1,948,076 ","1,705,032 ","619,969 ","511,656 ","969,272 ","712,326 ","237,567 ",38.00 ,"9,358,833 ","4,430,102 ","4,928,731 ","8,842,276 ","2,219,927 ","1,919,165 ","767,547 ","1,151,618 ","12,138,830 ","10,484,203 ","1,224,612 ","18,348 ","219,813 ","57,241 ","50,650 ","14,506 ","6,984 ","31,612 ","30,037 ","28,783 ","3,417 ",897 ,646 ,734 ,"1,140 ","188,437 ","142,224 ","10,596,409 ","1,289,123 ","52,650 ","248,601 ","8,790 ","238,700 ","12,281,054 ","394,088 ","55,178 ","228,557 ","10,363 ","99,990 ","11,886,966 ","10,322,455 ","12,281,054 ","11,847,753 ","4,777,003 ","2,467,673 ","3,555,036 ","2,653,125 ","525,185 ","201,853 ","522,856 ","237,622 ","433,301 ","213,790 ","219,511 ","4,777,003 ","3,208,388 ","1,430,808 ","2,467,673 ","1,043,071 ","554,693 ","298,021 ","1,568,615 ","1,320,941 ","555,374 ","1,559,281 ","1,328,237 ",2.48 ,3.04 ,"5,249,750 ","4,777,003 ","472,747 ","148,230 ",1.60 ,7.20 ,"4,777,003 ","3,406,337 ","1,370,666 ",2.62 ,2.12 
Rhode Island,"1,048,319 ","503,635 ","544,684 ","63,896 ","71,905 ","71,370 ","75,445 ","71,813 ","140,326 ","170,310 ","141,863 ","49,982 ","39,007 ","73,684 ","57,821 ","20,897 ",36.70 ,"800,497 ","376,436 ","424,061 ","748,445 ","175,111 ","152,402 ","60,002 ","92,400 ","1,020,068 ","891,191 ","46,908 ","5,121 ","23,665 ","2,942 ","4,974 ","2,062 ",784 ,"1,560 ",952 ,"10,391 ",567 ,114 ,248 ,80 ,125 ,"52,616 ","28,251 ","910,630 ","58,051 ","10,725 ","28,290 ","1,783 ","69,002 ","1,048,319 ","90,820 ","5,881 ","25,422 ","1,128 ","58,389 ","957,499 ","858,433 ","1,048,319 ","1,009,503 ","408,424 ","196,757 ","303,842 ","228,391 ","47,462 ","14,603 ","53,018 ","23,180 ","38,816 ","13,801 ","25,015 ","408,424 ","265,398 ","124,867 ","196,757 ","85,817 ","52,609 ","31,703 ","143,026 ","116,678 ","46,417 ","134,399 ","107,335 ",2.47 ,3.07 ,"439,837 ","408,424 ","31,413 ","12,988 ",1.00 ,5.00 ,"408,424 ","245,156 ","163,268 ",2.66 ,2.19 
South Carolina,"4,012,012 ","1,948,929 ","2,063,083 ","264,679 ","285,243 ","290,479 ","295,377 ","281,714 ","560,831 ","625,124 ","550,321 ","206,762 ","166,149 ","270,048 ","165,016 ","50,269 ",35.40 ,"3,002,371 ","1,432,413 ","1,569,958 ","2,814,131 ","581,573 ","485,333 ","196,734 ","288,599 ","3,972,062 ","2,695,560 ","1,185,216 ","13,718 ","36,014 ","8,356 ","5,967 ","6,423 ","2,448 ","3,665 ","4,248 ","4,907 ","1,628 ",391 ,489 ,277 ,471 ,"39,926 ","39,950 ","2,727,208 ","1,200,901 ","27,456 ","44,931 ","3,778 ","51,346 ","4,012,012 ","95,076 ","52,871 ","12,211 ","2,875 ","27,119 ","3,916,936 ","2,652,291 ","4,012,012 ","3,876,975 ","1,533,854 ","783,142 ","1,153,601 ","875,535 ","235,486 ","112,044 ","170,892 ","70,422 ","135,037 ","60,533 ","74,504 ","1,533,854 ","1,072,822 ","495,276 ","783,142 ","333,951 ","226,958 ","131,010 ","461,032 ","383,142 ","132,302 ","560,160 ","346,175 ",2.53 ,3.02 ,"1,753,670 ","1,533,854 ","219,816 ","70,198 ",1.90 ,12.00 ,"1,533,854 ","1,107,617 ","426,237 ",2.59 ,2.37 
South Dakota,"754,844 ","374,558 ","380,286 ","51,069 ","54,486 ","59,463 ","62,463 ","52,802 ","91,013 ","115,386 ","97,682 ","33,611 ","28,738 ","53,129 ","38,916 ","16,086 ",35.60 ,"552,195 ","270,597 ","281,598 ","515,188 ","125,089 ","108,131 ","45,615 ","62,516 ","744,688 ","669,404 ","4,685 ","62,283 ","4,378 ",611 ,816 ,613 ,350 ,584 ,574 ,830 ,261 ,79 ,58 ,47 ,77 ,"3,677 ","10,156 ","678,604 ","6,687 ","68,281 ","6,009 ",556 ,"5,351 ","754,844 ","10,903 ","6,364 ",637 ,163 ,"3,739 ","743,941 ","664,585 ","754,844 ","726,426 ","290,245 ","157,391 ","222,428 ","185,835 ","22,696 ","10,716 ","33,666 ","13,891 ","28,418 ","14,387 ","14,031 ","290,245 ","194,330 ","95,180 ","157,391 ","71,148 ","26,205 ","17,645 ","95,915 ","80,040 ","32,163 ","100,977 ","72,515 ",2.50 ,3.07 ,"323,208 ","290,245 ","32,963 ","9,839 ",1.80 ,8.00 ,"290,245 ","197,940 ","92,305 ",2.64 ,2.22 
