State,Total Population,Male,Female,Under 5 Years,5-9 Years,10-14 Years,15-19 Years,20-24 Years,25-34 Years,35-44 Years,45-54 Years,55-59 Years,60-64 Years,65-74 Years,75-84 Years,85+ Years,Meadian age (years),18+ Years (All),18+ (Male),18+ (Female),21+ Years,62+ Years,65+ Years,65+ Years (Male),65+ Years (Female),One Race,White,Black or African American,American Indian and Alaska Native,Asian,Asian Indian,Chinese,Filipino,Japanese,Korean,Vietnamese,Other Asian,Native Hawaiian and Other Pacific Islander,Native Hawaiian.,Guamanian or Chamorro,Samoan,Other Pacific Islander,Some other race,Two or more races,White,Black or African American . .,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some other race,Total Population,Hispanic or Latino (of any race) .,Mexican,Puerto Rican,Cuban,Other Hispanic or Latino,Not Hispanic or Latino,White alone,Total Population,In households,Householder,Spouse,Child,Own child under 18 years,Other relatives,Other relatives-Under 18,Nonrelatives,Unmarried partner,In group quarters,Institutionalized population,Noninstitutionalized population,Total households,Family households (families).,With own children under 18 years,Married-couple family,With own children under 18 years,"Female householder, no husband present",With own children under 18 years,Nonfamily households,Householder living alone,Householder 65 years and over,Households with individuals under 18 years,Households with individuals 65 years and over ,Average household size,Average family size,Total housing units.,Occupied housing units,Vacant housing units,"For seasonal, recreational, or occasional use",Homeowner vacancy rate (percent),Rental vacancy rate (percent).,Occupied housing units,Owner-occupied housing units,Renter-occupied housing units,Average household size of owner-occupied units,Average household size of renter-occupied units
Hawaii,"1,211,537 ","608,671 ","602,866 ","78,163 ","84,980 ","83,106 ","81,002 ","83,409 ","171,159 ","191,177 ","170,979 ","60,561 ","46,400 ","85,262 ","57,775 ","17,564 ",36.20 ,"915,770 ","456,446 ","459,324 ","867,329 ","187,435 ","160,601 ","71,338 ","89,263 ","952,194 ","294,102 ","22,003 ","3,535 ","503,868 ","1,441 ","56,600 ","170,635 ","201,764 ","23,537 ","7,867 ","42,024 ","113,539 ","80,137 ","1,663 ","16,166 ","15,573 ","15,147 ","259,343 ","476,162 ","33,343 ","24,882 ","703,232 ","282,667 ","47,603 ","1,211,537 ","87,699 ","19,820 ","30,005 ",711 ,"37,163 ","1,123,838 ","277,091 ","1,211,537 ","1,175,755 ","403,240 ","216,077 ","351,544 ","239,483 ","127,659 ","47,971 ","77,235 ","23,516 ","35,782 ","7,690 ","28,092 ","403,240 ","287,068 ","129,322 ","216,077 ","96,758 ","49,923 ","23,619 ","116,172 ","88,153 ","28,565 ","153,008 ","110,475 ",2.92 ,3.42 ,"460,542 ","403,240 ","57,302 ","25,584 ",1.60 ,8.20 ,"403,240 ","227,888 ","175,352 ",3.07 ,2.71 
Idaho,"1,293,953 ","648,660 ","645,293 ","97,643 ","100,756 ","104,608 ","110,858 ","93,994 ","169,433 ","192,968 ","170,248 ","60,024 ","47,505 ","75,970 ","51,889 ","18,057 ",33.20 ,"924,923 ","458,934 ","465,989 ","860,220 ","173,097 ","145,916 ","64,161 ","81,755 ","1,268,344 ","1,177,304 ","5,456 ","17,645 ","11,889 ","1,289 ","2,224 ","1,614 ","2,642 ","1,250 ","1,323 ","1,547 ","1,308 ",391 ,254 ,249 ,414 ,"54,742 ","25,609 ","1,201,113 ","8,127 ","27,237 ","17,390 ","2,847 ","64,389 ","1,293,953 ","101,690 ","79,324 ","1,509 ",408 ,"20,449 ","1,192,263 ","1,139,291 ","1,293,953 ","1,262,457 ","469,645 ","276,511 ","407,482 ","343,031 ","43,857 ","17,764 ","64,962 ","22,564 ","31,496 ","17,717 ","13,779 ","469,645 ","335,588 ","170,463 ","276,511 ","132,101 ","40,849 ","27,091 ","134,057 ","105,175 ","38,789 ","181,967 ","100,742 ",2.69 ,3.17 ,"527,824 ","469,645 ","58,179 ","27,478 ",2.20 ,7.60 ,"469,645 ","339,960 ","129,685 ",2.75 ,2.52 
Illinois,"12,419,293 ","6,080,336 ","6,338,957 ","876,549 ","929,858 ","905,097 ","894,002 ","850,843 ","1,811,674 ","1,983,870 ","1,626,742 ","577,747 ","462,886 ","772,247 ","535,747 ","192,031 ",34.70 ,"9,173,842 ","4,417,904 ","4,755,938 ","8,634,455 ","1,767,525 ","1,500,025 ","601,611 ","898,414 ","12,184,277 ","9,125,471 ","1,876,875 ","31,006 ","423,603 ","124,723 ","76,725 ","86,298 ","20,379 ","51,453 ","19,101 ","44,924 ","4,610 ","1,003 ",988 ,"1,062 ","1,557 ","722,712 ","235,016 ","9,322,831 ","1,937,671 ","73,161 ","473,649 ","11,848 ","847,369 ","12,419,293 ","1,530,262 ","1,144,390 ","157,851 ","18,438 ","209,583 ","10,889,031 ","8,424,140 ","12,419,293 ","12,097,512 ","4,591,779 ","2,353,892 ","3,814,988 ","2,884,036 ","758,563 ","288,827 ","578,290 ","219,546 ","321,781 ","174,727 ","147,054 ","4,591,779 ","3,105,513 ","1,514,561 ","2,353,892 ","1,113,582 ","563,718 ","315,957 ","1,486,266 ","1,229,807 ","438,693 ","1,663,878 ","1,064,919 ",2.63 ,3.23 ,"4,885,615 ","4,591,779 ","293,836 ","29,712 ",1.50 ,6.20 ,"4,591,779 ","3,088,884 ","1,502,895 ",2.76 ,2.37 
Indiana,"6,080,485 ","2,982,474 ","3,098,011 ","423,215 ","443,273 ","443,416 ","453,482 ","425,731 ","831,125 ","960,703 ","816,865 ","294,169 ","235,675 ","395,393 ","265,880 ","91,558 ",35.20 ,"4,506,089 ","2,174,756 ","2,331,333 ","4,221,426 ","888,688 ","752,831 ","303,797 ","449,034 ","6,004,813 ","5,320,022 ","510,034 ","15,815 ","59,126 ","14,685 ","12,531 ","6,674 ","5,065 ","7,502 ","4,843 ","7,826 ","2,005 ",606 ,470 ,385 ,544 ,"97,811 ","75,672 ","5,387,174 ","538,015 ","39,263 ","72,839 ","4,367 ","119,586 ","6,080,485 ","214,536 ","153,042 ","19,678 ","2,754 ","39,062 ","5,865,949 ","5,219,373 ","6,080,485 ","5,902,331 ","2,336,306 ","1,251,458 ","1,801,564 ","1,432,898 ","229,415 ","100,304 ","283,588 ","124,851 ","178,154 ","90,885 ","87,269 ","2,336,306 ","1,602,501 ","767,836 ","1,251,458 ","556,113 ","259,372 ","160,311 ","733,805 ","605,428 ","221,538 ","834,826 ","524,632 ",2.53 ,3.05 ,"2,532,319 ","2,336,306 ","196,013 ","33,803 ",1.80 ,8.80 ,"2,336,306 ","1,669,162 ","667,144 ",2.64 ,2.24 
Iowa,"2,926,324 ","1,435,515 ","1,490,809 ","188,413 ","202,603 ","210,547 ","226,420 ","203,663 ","363,060 ","445,199 ","392,794 ","139,052 ","118,360 ","211,935 ","159,160 ","65,118 ",36.60 ,"2,192,686 ","1,058,805 ","1,133,881 ","2,051,156 ","505,699 ","436,213 ","176,997 ","259,216 ","2,894,546 ","2,748,640 ","61,853 ","8,989 ","36,635 ","5,641 ","6,161 ","2,272 ","1,474 ","5,063 ","7,129 ","8,895 ","1,009 ",270 ,170 ,150 ,419 ,"37,420 ","31,778 ","2,777,183 ","72,512 ","18,246 ","43,119 ","2,196 ","46,858 ","2,926,324 ","82,473 ","61,154 ","2,690 ",750 ,"17,879 ","2,843,851 ","2,710,344 ","2,926,324 ","2,822,155 ","1,149,276 ","633,254 ","831,984 ","686,153 ","72,519 ","29,297 ","135,122 ","56,822 ","104,169 ","50,256 ","53,913 ","1,149,276 ","769,684 ","361,153 ","633,254 ","274,565 ","98,270 ","64,367 ","379,592 ","313,083 ","130,739 ","382,455 ","291,420 ",2.46 ,3.00 ,"1,232,511 ","1,149,276 ","83,235 ","16,472 ",1.70 ,6.80 ,"1,149,276 ","831,419 ","317,857 ",2.57 ,2.15 
Kansas,"2,688,418 ","1,328,474 ","1,359,944 ","188,708 ","195,574 ","204,018 ","210,118 ","190,167 ","348,853 ","420,351 ","354,147 ","121,645 ","98,608 ","175,916 ","128,543 ","51,770 ",35.20 ,"1,975,425 ","962,194 ","1,013,231 ","1,847,513 ","413,585 ","356,229 ","145,515 ","210,714 ","2,631,922 ","2,313,944 ","154,198 ","24,936 ","46,806 ","8,153 ","7,624 ","3,509 ","1,935 ","4,529 ","11,623 ","9,433 ","1,313 ",391 ,325 ,255 ,342 ,"90,725 ","56,496 ","2,363,412 ","170,610 ","47,363 ","56,049 ","3,117 ","107,789 ","2,688,418 ","188,252 ","148,270 ","5,237 ","1,680 ","33,065 ","2,500,166 ","2,233,997 ","2,688,418 ","2,606,468 ","1,037,891 ","567,924 ","793,413 ","659,418 ","90,000 ","37,765 ","117,240 ","42,299 ","81,950 ","45,396 ","36,554 ","1,037,891 ","701,547 ","345,091 ","567,924 ","260,923 ","96,661 ","62,757 ","336,344 ","280,387 ","105,689 ","368,875 ","241,686 ",2.51 ,3.07 ,"1,131,200 ","1,037,891 ","93,309 ","9,639 ",2.00 ,8.80 ,"1,037,891 ","718,703 ","319,188 ",2.63 ,2.25 
Kentucky,"4,041,769 ","1,975,368 ","2,066,401 ","265,901 ","279,258 ","279,481 ","289,004 ","283,032 ","568,108 ","642,665 ","556,932 ","204,483 ","168,112 ","273,943 ","172,589 ","58,261 ",35.90 ,"3,046,951 ","1,464,021 ","1,582,930 ","2,867,257 ","601,762 ","504,793 ","203,981 ","300,812 ","3,999,326 ","3,640,889 ","295,994 ","8,616 ","29,744 ","6,771 ","5,397 ","3,106 ","3,683 ","3,818 ","3,596 ","3,373 ","1,460 ",338 ,403 ,327 ,392 ,"22,623 ","42,443 ","3,678,740 ","311,878 ","24,552 ","37,062 ","3,162 ","31,805 ","4,041,769 ","59,939 ","31,385 ","6,469 ","3,516 ","18,569 ","3,981,830 ","3,608,013 ","4,041,769 ","3,926,965 ","1,590,647 ","857,944 ","1,162,259 ","901,105 ","159,383 ","69,435 ","156,732 ","71,266 ","114,804 ","62,057 ","52,747 ","1,590,647 ","1,104,398 ","516,344 ","857,944 ","375,211 ","187,957 ","110,565 ","486,249 ","414,095 ","155,914 ","564,175 ","363,000 ",2.47 ,2.97 ,"1,750,927 ","1,590,647 ","160,280 ","30,420 ",1.80 ,8.70 ,"1,590,647 ","1,125,397 ","465,250 ",2.55 ,2.27 
Louisiana,"4,468,976 ","2,162,903 ","2,306,073 ","317,392 ","336,780 ","347,912 ","365,945 ","325,571 ","601,162 ","691,966 ","586,271 ","208,761 ","170,287 ","282,925 ","175,328 ","58,676 ",34.00 ,"3,249,177 ","1,539,808 ","1,709,369 ","3,029,001 ","615,399 ","516,929 ","208,288 ","308,641 ","4,420,711 ","2,856,161 ","1,451,944 ","25,477 ","54,758 ","8,280 ","7,474 ","4,504 ","1,519 ","2,876 ","24,358 ","5,747 ","1,240 ",373 ,342 ,253 ,272 ,"31,131 ","48,265 ","2,894,983 ","1,468,317 ","42,878 ","64,350 ","3,237 ","47,775 ","4,468,976 ","107,738 ","32,267 ","7,670 ","8,448 ","59,353 ","4,361,238 ","2,794,391 ","4,468,976 ","4,333,011 ","1,656,053 ","809,498 ","1,404,630 ","1,049,117 ","281,756 ","144,550 ","181,074 ","83,563 ","135,965 ","90,002 ","45,963 ","1,656,053 ","1,156,438 ","572,053 ","809,498 ","374,158 ","275,075 ","161,546 ","499,615 ","419,200 ","148,840 ","649,314 ","372,354 ",2.62 ,3.16 ,"1,847,181 ","1,656,053 ","191,128 ","39,578 ",1.60 ,9.30 ,"1,656,053 ","1,125,135 ","530,918 ",2.70 ,2.44 
Maine,"1,274,923 ","620,309 ","654,614 ","70,726 ","83,022 ","92,252 ","89,485 ","69,656 ","157,617 ","212,980 ","192,596 ","68,490 ","54,697 ","96,196 ","63,890 ","23,316 ",38.60 ,"973,685 ","465,746 ","507,939 ","924,108 ","215,732 ","183,402 ","76,004 ","107,398 ","1,262,276 ","1,236,014 ","6,760 ","7,098 ","9,111 ","1,021 ","2,034 ","1,159 ",616 ,875 ,"1,323 ","2,083 ",382 ,90 ,70 ,109 ,113 ,"2,911 ","12,647 ","1,247,776 ","9,553 ","13,156 ","11,827 ",792 ,"5,227 ","1,274,923 ","9,360 ","2,756 ","2,275 ",478 ,"3,851 ","1,265,563 ","1,230,297 ","1,274,923 ","1,240,011 ","518,200 ","272,152 ","342,506 ","279,827 ","33,361 ","11,354 ","73,792 ","37,881 ","34,912 ","13,091 ","21,821 ","518,200 ","340,685 ","157,325 ","272,152 ","112,767 ","49,022 ","32,352 ","177,515 ","139,969 ","55,483 ","167,685 ","128,137 ",2.39 ,2.90 ,"651,901 ","518,200 ","133,701 ","101,470 ",1.70 ,7.00 ,"518,200 ","370,905 ","147,295 ",2.54 ,2.03 
Maryland,"5,296,486 ","2,557,794 ","2,738,692 ","353,393 ","391,318 ","392,135 ","356,119 ","314,129 ","748,521 ","916,156 ","755,032 ","268,647 ","201,729 ","321,285 ","211,120 ","66,902 ",36.00 ,"3,940,314 ","1,864,136 ","2,076,178 ","3,736,905 ","714,369 ","599,307 ","244,393 ","354,914 ","5,192,899 ","3,391,308 ","1,477,411 ","15,423 ","210,929 ","49,909 ","49,400 ","26,608 ","6,620 ","39,155 ","16,744 ","22,493 ","2,303 ",583 ,708 ,321 ,691 ,"95,525 ","103,587 ","3,465,697 ","1,525,036 ","39,437 ","238,408 ","6,179 ","134,621 ","5,296,486 ","227,916 ","39,900 ","25,570 ","6,754 ","155,692 ","5,068,570 ","3,286,547 ","5,296,486 ","5,162,430 ","1,980,859 ","994,549 ","1,567,333 ","1,194,489 ","327,842 ","129,487 ","291,847 ","110,335 ","134,056 ","69,318 ","64,738 ","1,980,859 ","1,359,318 ","662,172 ","994,549 ","461,446 ","279,876 ","159,342 ","621,541 ","495,459 ","160,414 ","739,048 ","429,316 ",2.61 ,3.13 ,"2,145,283 ","1,980,859 ","164,424 ","38,880 ",1.60 ,6.10 ,"1,980,859 ","1,341,751 ","639,108 ",2.73 ,2.35 
