yearstate,electionyear,stateabbriviation,statename,percentcitizenwhite,percentcitizenblack,percentcitizenasian,percentcitizenhispanic,totalvotingagepopulation,totalvotingagecitizen,totalpercentcitizen,totalregisteredvoters,totalpercentregisteredcitizens,totaltotalvotes,totalpercentvotedcitizen,malevotingagepopulation,malevotingagecitizen,malepercentcitizen,maleregisteredvoters,malepercentregisteredcitizens,maletotalvotes,malepercentvotedcitizen,femalevotingagepopulation,femalevotingagecitizen,femalepercentcitizen,femaleregisteredvoters,femalepercentregisteredcitizens,femaletotalvotes,femalepercentvotedcitizen,whitenonhispanicvotingagepopulation,whitenonhispanicvotingagecitizen,whitenonhispanicpercentcitizen,whitenonhispanicregisteredvoters,whitenonhispanicpercentregisteredcitizens,whitenonhispanictotalvotes,whitenonhispanicpercentvotedcitizen,blackvotingagepopulation,blackvotingagecitizen,blackpercentcitizen,blackregisteredvoters,blackpercentregisteredcitizens,blacktotalvotes,blackpercentvotedcitizen,asianpacificislandervotingagepopulation,asianpacificislandervotingagecitizen,asianpacificislanderpercentcitizen,asianpacificislanderregisteredvoters,asianpacificislanderpercentregisteredcitizens,asianpacificislandertotalvotes,asianpacificislanderpercentvotedcitizen,hispanicvotingagepopulation,hispanicvotingagecitizen,hispanicpercentcitizen,hispanicregisteredvoters,hispanicpercentregisteredcitizens,hispanictotalvotes,hispanicpercentvotedcitizen
2000-IA,2000,IA,IOWA,0.948705179,0.035856574,0.000996016,0.014442231,2110,2008,0.951658768,1524,0.758964143,1353,0.673804781,1049,992,0.945662536,733,0.73891129,650,0.655241935,1061,1017,0.958529689,790,0.776794494,703,0.691248771,1920,1905,0.9921875,1460,0.766404199,1301,0.682939633,81,72,0.888888889,42,0.583333333,34,0.472222222,20,2,0.1,0,0,0,0,89,29,0.325842697,22,0.75862069,19,0.655172414
2000-KS,2000,KS,KANSAS,0.912950027,0.055346588,0.005910801,0.015045674,1908,1861,0.975366876,1293,0.694787749,1148,0.616872649,927,904,0.975188781,600,0.663716814,528,0.584070796,981,958,0.976554536,693,0.723382046,620,0.647181628,1707,1699,0.995313415,1198,0.705120659,1066,0.627427899,103,103,1,72,0.699029126,63,0.611650485,29,11,0.379310345,5,0.454545455,5,0.454545455,50,28,0.56,8,0.285714286,7,0.25
2000-KY,2000,KY,KENTUCKY,0.905414668,0.07882111,0.003084304,0.008910212,2996,2918,0.973965287,2087,0.715215901,1645,0.563742289,1398,1356,0.969957082,963,0.710176991,760,0.560471976,1597,1562,0.978083907,1125,0.720230474,886,0.567221511,2668,2642,0.990254873,1911,0.72331567,1498,0.566994701,230,230,1,141,0.613043478,121,0.526086957,17,9,0.529411765,7,0.777777778,4,0.444444444,71,26,0.366197183,19,0.730769231,17,0.653846154
2000-LA,2000,LA,LOUISIANA,0.690391459,0.285991588,0.003558719,0.016175995,3143,3091,0.983455297,2369,0.766418635,2030,0.65674539,1434,1401,0.976987448,1049,0.748750892,903,0.644539615,1709,1690,0.988882387,1320,0.781065089,1127,0.666863905,2142,2134,0.996265173,1670,0.782567948,1442,0.675726336,884,884,1,647,0.731900452,555,0.627828054,44,11,0.25,3,0.272727273,3,0.272727273,61,50,0.819672131,38,0.76,22,0.44
2000-ME,2000,ME,MAINE,0.982401656,0.00621118,0.005175983,0.004140787,979,966,0.986721144,786,0.813664596,677,0.700828157,465,461,0.991397849,374,0.811279826,315,0.68329718,514,505,0.982490272,412,0.815841584,362,0.716831683,962,949,0.986486486,775,0.816649104,667,0.7028451,6,6,1,4,0.666666667,4,0.666666667,5,5,1,3,0.6,3,0.6,4,4,1,4,1,3,0.75
2000-MD,2000,MD,MARYLAND,0.67545582,0.29256662,0.01654979,0.010659187,3812,3565,0.935204617,2499,0.700981767,2178,0.610939691,1838,1681,0.914581066,1129,0.671624033,970,0.577037478,1974,1883,0.953900709,1371,0.728093468,1208,0.641529474,2461,2408,0.978464039,1661,0.689784053,1432,0.594684385,1125,1043,0.927111111,765,0.73346117,679,0.651006711,83,59,0.710843373,27,0.457627119,27,0.457627119,131,38,0.290076336,30,0.789473684,30,0.789473684
2000-MA,2000,MA,MASSACHUSETTS,0.893311352,0.051813472,0.012953368,0.041215261,4614,4246,0.920242739,3244,0.764013189,2772,0.652849741,2212,2009,0.908227848,1519,0.756097561,1296,0.645097063,2403,2237,0.930919684,1725,0.771122038,1476,0.659812249,3979,3793,0.953254587,2973,0.783812286,2566,0.676509359,275,220,0.8,144,0.654545455,131,0.595454545,109,55,0.504587156,23,0.418181818,23,0.418181818,251,175,0.697211155,103,0.588571429,51,0.291428571
2000-MI,2000,MI,MICHIGAN,0.850208244,0.124515295,0.008760592,0.014792475,7231,6963,0.962937353,4996,0.717506822,4343,0.623725406,3517,3387,0.963036679,2387,0.704753469,2057,0.607322114,3713,3576,0.963102612,2609,0.72958613,2287,0.639541387,6024,5920,0.982735724,4280,0.722972973,3731,0.630236486,877,867,0.988597491,621,0.716262976,534,0.615916955,161,61,0.378881988,33,0.540983607,30,0.491803279,156,103,0.66025641,51,0.495145631,40,0.388349515
2000-MN,2000,MN,MINNESOTA,0.947167596,0.026709715,0.009979454,0.005576754,3506,3407,0.971762693,2688,0.788963898,2376,0.697387731,1721,1661,0.965136549,1257,0.756773028,1119,0.673690548,1785,1746,0.978151261,1431,0.819587629,1257,0.719931271,3245,3227,0.994453005,2583,0.800433839,2296,0.711496746,95,91,0.957894737,54,0.593406593,41,0.450549451,81,34,0.419753086,26,0.764705882,18,0.529411765,50,19,0.38,9,0.473684211,9,0.473684211
2000-MS,2000,MS,MISSISSIPPI,0.68015992,0.305347326,0.001999,0.009495252,2029,2001,0.986200099,1465,0.732133933,1213,0.606196902,943,929,0.985153765,655,0.705059203,535,0.575888052,1086,1072,0.987108656,809,0.754664179,678,0.632462687,1371,1361,0.992706054,995,0.731080088,849,0.623806025,611,611,1,450,0.736497545,357,0.584288052,16,4,0.25,4,1,0,0,25,19,0.76,13,0.684210526,4,0.210526316
